311915164473647104	positive	RT @ericullrich : Jetzt müsste Berlusconi auf dem Balkon erscheinen :) #papst	RT @ericullrich : jetzt müssen Berlusconi auf die Balkon erscheinen :) #papst	NE NE $. ADV VMFIN NN APPR ART NN VVFIN ADJA NN	2/PNC 0/-- 2/-- 5/MO 3/-- 5/SB 10/MO 9/NK 7/NK 5/OC 12/NK 10/OA	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=acc|gender=fem|num=sg|sup=True case=acc|gender=fem|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|gender=masc|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|pos=True|num=sg|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Intensity=medium case=dat|gender=masc|num=sg
311910119254392832	negative	RT @tutsiblog : Hoffentlich ist es nicht Silvio #Berlusconi :) #Papst und so	RT @tutsiblog : hoffentlich sein es nicht Silvio #Berlusconi :) #Papst und so	NE NN $. ADV VAFIN PPER PTKNEG NE NN ADJA NN KON ADV	2/SB 0/-- 2/-- 5/MO 3/-- 5/SB 5/NG 9/PNC 5/PD 11/NK 9/AG 11/CD 12/CJ	case=nom|*=True|num=sg case=nom|Source::markable_100500147::Source=True|Sentiment::markable_100500132::Sentiment=True|Sentiment::markable_100500132::Polarity=negative|*=True|Sentiment::markable_100500132::Intensity=weak|num=sg|Sentiment::markable_100500132::Sarcasm=false|Source::markable_100500147::Anaphref=empty Sentiment::markable_100500132::Sentiment=True EmoExpression::markable_100500134::Sarcasm=false|Sentiment::markable_100500132::Sentiment=True|EmoExpression::markable_100500134::Intensity=medium|EmoExpression::markable_100500134::Uncertain=false|EmoExpression::markable_100500134::SubjectiveFact=false|EmoExpression::markable_100500134::Polarity=positive|EmoExpression::markable_100500134::EmoExpression=True pers=3|Sentiment::markable_100500132::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|Sentiment::markable_100500132::Sentiment=True|pers=3 Negation::markable_100500135::EmoExpressionRef=empty|Negation::markable_100500135::Negation=True|Sentiment::markable_100500132::Sentiment=True case=nom|num=sg|Sentiment::markable_100500132::Sentiment=True|Target::markable_100500133::Target=True|Target::markable_100500133::Anaphref=empty|gender=masc|Target::markable_100500133::Preferred=true case=nom|gender=masc|num=sg|Sentiment::markable_100500132::Sentiment=True|Target::markable_100500133::Target=True case=nom|Sentiment::markable_100500132::Sentiment=True|EmoExpression::markable_25::Polarity=positive|gender=masc|pos=True|EmoExpression::markable_25::EmoExpression=True|EmoExpression::markable_25::Intensity=medium|num=sg|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false case=nom|gender=masc|num=sg|Sentiment::markable_100500132::Sentiment=True Sentiment::markable_100500132::Sentiment=True Sentiment::markable_100500132::Sentiment=True
312104970168193024	positive	HC und der argentinische Botschafter im ORF - Zentrum am Tag der Papst - Wahl :-) http://t.co/8W1Iw1FlHv	HC und die argentinisch Botschafter in ORF - Zentrum an Tag die Papst - Wahl :-) http://t.co/8W1Iw1FlHv	NE KON ART ADJA NN APPRART NE $( NN APPRART NN ART NN $( NN $( NN	0/-- 1/CD 5/NK 5/NK 2/CJ 5/MNR 6/NK 7/-- 7/PAR 9/MNR 10/NK 13/NK 11/AG 13/-- 9/CJ 15/-- 15/CJ	case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|gender=fem|EmoExpression::markable_26::Polarity=positive|num=sg|EmoExpression::markable_26::SubjectiveFact=false case=acc|gender=fem|num=sg
311833547075895298	positive	Was es bei den Kardinälen zu essen gibt ? Na , seht selbst ;-) #konklave #papst http://t.co/8ZxITNeV1v	was es bei die Kardinal zu essen geben ? na , sehen selbst ;-) #konklave #papst http://t.co/8ZxITNeV1v	PRELS PPER APPR ART NN PTKZU VVINF VVFIN $. ITJ $, VVFIN ADV $( NN NN NE	7/OA 8/EP 7/MO 5/NK 3/NK 7/PM 8/OC 0/-- 8/-- 12/DM 10/-- 9/-- 15/MO 13/-- 12/SB 17/PNC 15/NK	case=acc|gender=neut|num=sg case=nom|gender=neut|num=sg|pers=3 _ case=dat|gender=masc|num=pl case=dat|gender=masc|num=pl _ _ pers=3|num=sg|tense=pres|mood=ind _ _ _ pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg
311919849586700289	positive	@SandroBrotz na , auch einen Spick zum Gaucho - Papst parat ? ;-)	@SandroBrotz na , auch eine Spick zu Gaucho - Papst parat ? ;-)	NN ITJ $, ADV ART NN APPRART NN $( NN ADJD $. $(	0/-- 10/NK 2/-- 6/MO 6/NK 1/-- 6/MNR 7/NK 8/-- 1/-- 10/PD 11/-- 12/--	_ _ _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|gender=masc|num=sg _ EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false
311957227290382336	positive	Heute sind mir die Leute auf Fb sympatisch . Kein Papst , nur Fußball :)	heute sein ich die Leute auf Fb sympatisch . keine Papst , nur Fußball :)	ADV VAFIN PPER ART NN APPR NN ADJD $. PIAT NN $, ADV NN ADJA	2/MO 0/-- 8/DA 5/NK 2/SB 5/MNR 6/NK 2/PD 8/-- 11/NK 15/PD 11/-- 14/MO 11/CJ 9/--	Sentiment::markable_29::Polarity=positive|Sentiment::markable_29::Sarcasm=false|Sentiment::markable_29::Intensity=medium|Sentiment::markable_29::Sentiment=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_29::Sentiment=True case=dat|pers=1|num=sg|Sentiment::markable_29::Sentiment=True|Source::markable_32::Source=True|*=True|Source::markable_32::Anaphref=empty case=nom|num=pl|Target::markable_31::Preferred=true|Sentiment::markable_29::Sentiment=True|Target::markable_31::Target=True|*=True|Target::markable_31::Anaphref=empty case=nom|*=True|Target::markable_31::Target=True|num=pl|Sentiment::markable_29::Sentiment=True Target::markable_31::Target=True|Sentiment::markable_29::Sentiment=True case=acc|gender=masc|Target::markable_31::Target=True|num=sg|Sentiment::markable_29::Sentiment=True Sentiment::markable_29::Sentiment=True|pos=True|EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_33::Sarcasm=false|gender=masc|pos=True|EmoExpression::markable_33::Intensity=medium|num=sg|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::SubjectiveFact=false
311911873547214848	negative	Ich will endlich Papst Hans Sarpaul II. sehen ! :-)) | @HansSarpei #conclave	ich wollen endlich Papst Hans Sarpaul II. sehen ! :-)) | @HansSarpei #conclave	PPER VMFIN ADV NN NE NE NE VVFIN $. NN XY ADJA NN	2/SB 0/-- 2/MO 8/SB 7/PNC 7/PNC 4/NK 2/OC 8/-- 9/-- 9/-- 10/MO 12/--	case=nom|Sentiment::markable_100500136::Sentiment=True|Sentiment::markable_100500136::Polarity=negative|Sentiment::markable_100500136::Sarcasm=true|*=True|pers=1|Source::markable_100500137::Anaphref=empty|num=sg|Sentiment::markable_100500136::Intensity=medium|Source::markable_100500137::Source=True Sentiment::markable_100500136::Sentiment=True|EmoExpression::markable_100500138::Polarity=positive|mood=ind|EmoExpression::markable_100500138::EmoExpression=True|pers=1|num=sg|tense=pres|EmoExpression::markable_100500138::Uncertain=false|EmoExpression::markable_100500138::Intensity=medium|EmoExpression::markable_100500138::Sarcasm=false|EmoExpression::markable_100500138::SubjectiveFact=false Sentiment::markable_100500136::Sentiment=True|EmoExpression::markable_100500139::Polarity=positive|EmoExpression::markable_100500139::Sarcasm=false|EmoExpression::markable_100500139::Uncertain=false|EmoExpression::markable_100500139::Intensity=medium|EmoExpression::markable_100500139::SubjectiveFact=false|EmoExpression::markable_100500139::EmoExpression=True case=nom|Sentiment::markable_100500136::Sentiment=True|num=sg|Target::markable_100500140::Preferred=true|gender=masc|Target::markable_100500140::Target=True|Target::markable_100500140::Anaphref=empty case=nom|gender=masc|num=sg|Sentiment::markable_100500136::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500136::Sentiment=True Sentiment::markable_100500136::Sentiment=True Sentiment::markable_100500136::Sentiment=True Sentiment::markable_100500136::Sentiment=True Sentiment::markable_100500136::Sentiment=True|EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false _ _ case=nom|gender=neut|num=pl
311799949618712576	positive	@FrederikeKiesel Länger , 1005  Tage . Und wenn bis Freitag kein Papst gewählt wird , ist Samstag Pause zum #Bundesliga gucken ! ;-) #Konklave	@FrederikeKiesel Länger , @card@ Tag . und wenn bis Freitag keine Papst wählen werden , sein Samstag Pause zu #Bundesliga gucken ! ;-) #Konklave	NN NN $, CARD NN $. KON KOUS APPR NN PIAT NN VVPP VAFIN $, VAFIN NN NN APPRART NN VVINF $. $( NN	0/-- 1/-- 2/-- 5/NK 2/CJ 5/-- 16/JU 14/CP 13/MO 9/NK 12/NK 14/SB 14/OC 21/MO 14/-- 6/-- 16/SB 17/NK 21/MO 19/NK 16/OC 21/-- 24/-- 22/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=pl _ _ case=acc|gender=masc|num=pl _ _ _ _ case=acc|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive case=nom|gender=fem|num=sg
311904670174031872	positive	der papst ist gewählt , weisser rauch :-) bin gespannt	die Papst sein wählen , weiß rauchen :-) sein gespannt	ART NN VAFIN VVPP $, ADJA VVIMP $( VAFIN ADJD	2/NK 3/SB 0/-- 3/PD 4/-- 7/NK 9/CJ 7/-- 3/CJ 9/PD	case=nom|Target::markable_38::Anaphref=empty|Target::markable_38::Preferred=true|gender=masc|num=sg|Sentiment::markable_37::Sentiment=True|Sentiment::markable_37::Sarcasm=false|Sentiment::markable_37::Polarity=positive|Sentiment::markable_37::Intensity=medium|Target::markable_38::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_37::Sentiment=True|Target::markable_38::Target=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_38::Target=True|Sentiment::markable_37::Sentiment=True Sentiment::markable_37::Sentiment=True|Target::markable_38::Target=True Sentiment::markable_37::Sentiment=True|Target::markable_38::Target=True case=nom|EmoExpression::markable_104010500::SubjectiveFact=true|gender=masc|pos=True|EmoExpression::markable_104010500::Intensity=medium|num=sg|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_104010500::EmoExpression=True|EmoExpression::markable_104010500::Uncertain=false|EmoExpression::markable_104010500::Polarity=positive|EmoExpression::markable_104010500::Sarcasm=false|Target::markable_38::Target=True case=nom|num=sg|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_104010500::EmoExpression=True|gender=masc|Target::markable_38::Target=True EmoExpression::markable_36::EmoExpression=True|pos=True|EmoExpression::markable_36::Intensity=medium|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false pers=1|num=sg|tense=pres|mood=ind _
311928635898593282	positive	Diesen Papst wollen Schwesterherz @dobsauce und ich mal live erleben :) Ich bin gespannt , wo uns diese Reise hinführen wird !	dies Papst wollen Schwesterherz @dobsauce und ich mal live erleben :) ich sein spannen , wo wir dies Reise hinführen werden !	PDAT NN VMFIN NN NN KON PPER ADV ADJD VVFIN ADJD PPER VAFIN VVPP $, PWAV PPER PDAT NN VVINF VAFIN $.	2/NK 3/SB 0/-- 3/SB 3/OA 13/JU 13/SB 11/MO 11/MO 11/MO 13/PD 13/SB 5/-- 13/PD 14/-- 20/MO 20/DA 19/NK 21/SB 21/OC 14/OC 21/--	case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=1 _ pos=True _ EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ _ case=dat|*=True|num=pl|pers=1 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind _
311909820515090432	negative	RT @tutsiblog : Hoffentlich ist es nicht Silvio #Berlusconi :) #Papst und so	RT @tutsiblog : hoffentlich sein es nicht Silvio #Berlusconi :) #Papst und so	NE NN $. ADV VAFIN PPER PTKNEG NE NN ADJA NN KON ADV	2/SB 0/-- 2/-- 5/MO 3/-- 5/SB 5/NG 9/PNC 5/PD 11/NK 9/AG 11/CD 12/CJ	case=nom|*=True|num=sg case=nom|Sentiment::markable_100500142::Intensity=weak|Source::markable_100500143::Source=True|*=True|Source::markable_100500143::Anaphref=empty|num=sg|Sentiment::markable_100500142::Sentiment=True|Sentiment::markable_100500142::Sarcasm=true|Sentiment::markable_100500142::Polarity=negative Sentiment::markable_100500142::Sentiment=True EmoExpression::markable_100500145::SubjectiveFact=false|EmoExpression::markable_100500145::Polarity=positive|Sentiment::markable_100500142::Sentiment=True|EmoExpression::markable_100500145::Sarcasm=false|EmoExpression::markable_100500145::Uncertain=false|EmoExpression::markable_100500145::EmoExpression=True|EmoExpression::markable_100500145::Intensity=medium pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500142::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_100500142::Sentiment=True|pers=3 Negation::markable_100500146::EmoExpressionRef=empty|Negation::markable_100500146::Negation=True|Sentiment::markable_100500142::Sentiment=True case=nom|Target::markable_100500144::Preferred=true|num=sg|Sentiment::markable_100500142::Sentiment=True|gender=masc|Target::markable_100500144::Anaphref=empty|Target::markable_100500144::Target=True case=nom|gender=masc|num=sg|Target::markable_100500144::Target=True|Sentiment::markable_100500142::Sentiment=True case=nom|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::SubjectiveFact=false|gender=masc|EmoExpression::markable_40::Intensity=medium|pos=True|EmoExpression::markable_40::Sarcasm=false|num=sg|EmoExpression::markable_40::Uncertain=false|Sentiment::markable_100500142::Sentiment=True|EmoExpression::markable_40::Polarity=positive case=nom|gender=masc|num=sg|Sentiment::markable_100500142::Sentiment=True Sentiment::markable_100500142::Sentiment=True Sentiment::markable_100500142::Sentiment=True
311920144542748672	positive	@DattSebby haha :D lass ihn doch er ist papst franciscus der 1 :)	@DattSebby haha :D laß er doch er sein Papst Franciscus die 1 :)	NN NE ADJD ADJD PPER KON PPER VAFIN NN NE ART CARD ADJA	0/-- 8/SB 4/MO 8/PD 4/CC 5/CD 8/SB 1/-- 8/SB 9/NK 13/NK 13/MO 8/MO	_ EmoExpression::markable_100500141::Polarity=positive|EmoExpression::markable_100500141::EmoExpression=True|EmoExpression::markable_100500141::Uncertain=false|EmoExpression::markable_100500141::Intensity=medium|EmoExpression::markable_100500141::Sarcasm=false|EmoExpression::markable_100500141::SubjectiveFact=false EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=strong|EmoExpression::markable_41::SubjectiveFact=false|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false _ case=acc|gender=masc|num=sg|pers=3 _ case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false
311922295562178560	negative	ich hab ja schon irgendwie gedacht , dass wir jetzt Papst Severus Snape II. bekommen . &gt; :(	ich haben ja schon irgendwie denken|gedenken , dass wir jetzt Papst Severus Snape II. bekommen . &gt; :(	PPER VAIMP ADV ADV ADV VVPP $, KOUS PPER ADV NN NE NE NE VVPP $. $( ADJA	6/SB 6/NK 6/MO 5/MO 6/MO 0/-- 6/-- 15/CP 15/SB 15/MO 15/OA 14/PNC 14/PNC 11/NK 6/MO 15/-- 18/-- 16/--	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=ind _ _ _ _ _ _ case=nom|*=True|num=pl|pers=1 _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg *=True _ _ _ case=dat|EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::SubjectiveFact=false|*=True|EmoExpression::markable_43::Uncertain=false|pos=True|num=sg|EmoExpression::markable_43::Polarity=negative|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::EmoExpression=True
311921069307084800	negative	Schlimm sieht der neue #Papst mit der Brille aus . Dachte erst Herbert #Knebel ist Papst geworden . :-)	schlimm sehen die neu #Papst mit die Brille aus . denken erst Herbert #Knebel sein Papst werden . :-)	ADJD VVFIN ART ADJA NN APPR ART NN PTKVZ $. VVFIN ADV NE NN VAFIN NN VAPP $. $(	2/MO 0/-- 5/NK 5/NK 2/SB 2/MO 8/NK 6/NK 2/SVP 9/-- 17/MO 17/MO 14/PNC 11/SB 10/-- 17/PD 15/OC 17/-- 18/--	EmoExpression::markable_46::EmoExpression=True|Sentiment::markable_44::Polarity=negative|Sentiment::markable_44::Sarcasm=false|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::SubjectiveFact=false|pos=True|EmoExpression::markable_46::Polarity=negative|EmoExpression::markable_46::Uncertain=false|Sentiment::markable_44::Intensity=medium|EmoExpression::markable_46::Sarcasm=false|Sentiment::markable_44::Sentiment=True mood=ind|Target::markable_45::Preferred=true|Target::markable_45::Anaphref=empty|pers=3|num=sg|tense=pres|Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True case=nom|gender=masc|Target::markable_45::Target=True|num=sg|Sentiment::markable_44::Sentiment=True case=nom|num=sg|gender=masc|Target::markable_45::Target=True|pos=True|Sentiment::markable_44::Sentiment=True case=nom|gender=masc|Target::markable_45::Target=True|num=sg|Sentiment::markable_44::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True case=dat|gender=fem|Target::markable_45::Target=True|num=sg|Sentiment::markable_44::Sentiment=True case=dat|gender=fem|Target::markable_45::Target=True|num=sg|Sentiment::markable_44::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True Sentiment::markable_44::Sentiment=True pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg _ _ EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Intensity=medium
311919176006635522	neutral	RT @SPIEGEL_EIL : Der neue Papst : Es ist ein Argentinier ... http://t.co/iVcoLyBUXw	RT @SPIEGEL_EIL : die neu Papst : es sein eine Argentinier ... http://t.co/iVcoLyBUXw	NE NN $. ART ADJA NN $. PPER VAFIN ART NN $. NN	2/SB 0/-- 2/-- 6/NK 6/NK 9/PD 6/-- 9/SB 3/-- 11/NK 9/PD 11/-- 12/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _
311924241794740224	neutral	RT @Wohnprinz : Also ich kenne diesen Menschen nicht , der ab heute nun der neue #Papst ist . Mich hat er jedoch erreicht und bisher ist er ...	RT @Wohnprinz : also ich kennen dies Mensch nicht , die ab heute nun die neu #Papst sein . ich haben er jedoch erreichen und bisher sein er ...	NE NN $. ADV PPER VVFIN PDAT NN PTKNEG $, PRELS ADV ADV ADV ART ADJA NN VAFIN $. PPER VAFIN PPER ADV VVPP KON ADV VAFIN PPER $.	2/SB 0/-- 2/-- 6/MO 6/SB 3/-- 8/NK 6/OA 6/NG 9/-- 18/SB 18/MO 18/MO 18/MO 17/NK 17/NK 18/PD 8/RC 18/-- 21/SB 19/-- 21/SB 24/MO 21/OC 21/CD 27/MO 25/CJ 27/SB 28/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|*=True|num=sg|pers=1 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _ _ _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _
312190003461644288	negative	RT @hpdticker : RT @athmatrix : Nur so zur Erinnerung : " Ein Diktatoren - Freund als Konkurrent Ratzingers " http://t.co/KJ5qS4gJZX #papst	RT @hpdticker : RT @athmatrix : nur so zu Erinnerung : " eine Diktator - Freund als Konkurrent Ratzingers " http://t.co/KJ5qS4gJZX #papst	NE NN $. NE NN $. ADV ADV APPRART NN $. $( ART NN $( NN KOKOM NN NN $( NN NN	2/SB 0/-- 2/-- 5/SB 3/-- 5/-- 8/MO 9/MO 6/-- 9/NK 10/-- 11/-- 14/NK 11/NK 14/-- 14/NK 16/CD 17/NK 16/CJ 19/-- 19/CJ 21/NK	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ case=acc|gender=neut|num=sg case=acc|EmoExpression::markable_100500148::SubjectiveFact=false|gender=neut|EmoExpression::markable_100500148::Uncertain=false|EmoExpression::markable_100500148::Intensity=medium|num=sg|EmoExpression::markable_100500148::EmoExpression=True|EmoExpression::markable_100500148::Polarity=negative|EmoExpression::markable_100500148::Sarcasm=false EmoExpression::markable_100500148::EmoExpression=True case=acc|gender=masc|num=sg|EmoExpression::markable_100500148::EmoExpression=True _ case=nom|gender=masc|EmoExpression::markable_104010501::Sarcasm=false|EmoExpression::markable_104010501::EmoExpression=True|EmoExpression::markable_104010501::Intensity=medium|EmoExpression::markable_104010501::Uncertain=false|num=sg|EmoExpression::markable_104010501::SubjectiveFact=true|EmoExpression::markable_104010501::Polarity=negative case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311906299887640577	negative	Oh man . Der Papst hält mich vom Bloggen ab , hab meinen Faden verloren. der nervt mich ja jetz schon .	oh man . die Papst halten ich von Bloggen ab , haben mein Faden verloren. die nerven ich ja jetz schon .	ITJ PIS $. ART NN VVFIN PRF APPRART NN PTKVZ $, VAIMP PPOSAT NN NE ART VVFIN PRF ADV ADJD ADV $.	0/NK 1/NK 2/-- 5/NK 6/SB 3/-- 6/OA 6/MO 8/NK 6/SVP 10/-- 16/NK 14/NK 12/NK 14/NK 17/SB 6/CJ 17/OA 17/MO 17/MO 17/MO 21/--	_ case=nom|*=True|num=sg _ case=nom|Target::markable_52::Anaphref=empty|num=sg|Target::markable_52::Preferred=true|gender=masc|Target::markable_52::Target=True case=nom|gender=masc|num=sg|Target::markable_52::Target=True pers=3|num=sg|tense=pres|mood=ind case=acc|*=True|num=sg|pers=1 case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ case=dat|gender=masc|num=pl|pos=True case=dat|gender=masc|num=pl case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|Target::markable_49::Target=True|gender=masc|Target::markable_49::Anaphref=markable_52|Sentiment::markable_48::Intensity=medium|num=sg|Sentiment::markable_48::Sarcasm=false|Sentiment::markable_48::Polarity=negative|Target::markable_49::Preferred=true|Sentiment::markable_48::Sentiment=True EmoExpression::markable_50::Intensity=medium|mood=ind|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True|pers=3|num=sg|tense=pres|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false|Sentiment::markable_48::Sentiment=True case=acc|pers=1|num=sg|Source::markable_51::Anaphref=empty|Source::markable_51::Source=True|*=True|Sentiment::markable_48::Sentiment=True Sentiment::markable_48::Sentiment=True Sentiment::markable_48::Sentiment=True|pos=True Sentiment::markable_48::Sentiment=True _
