311904570395734016	positive	Ob das das Internet aushält ? Soviel #Papst auf einmal . #Habemus ... ;-)	ob die die Internet aushalten ? soviele #Papst auf einmal . #Habemus ... ;-)	KOUS PDS ART NN VVFIN $. PIAT NN APPR ADV $. NN $. $(	5/CP 5/SB 4/NK 5/SB 0/-- 5/-- 8/NK 6/-- 8/MNR 9/NK 10/-- 11/-- 12/-- 13/--	_ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ *=True case=nom|gender=neut|num=sg _ _ _ _ _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
311927420708085760	positive	Schon geht ' s los :) RT @yourHen Chemie . Ich sage jetzt nichts . " @FAZ_Wissen : Das knallt : Franziskus I. hat ( auch ) Chemie studiert . #Papst #fb	schon gehen ' s los :) RT @yourHen Chemie . ich sagen jetzt nichts . " @FAZ_Wissen : die knallen : Franziskus I. haben ( auch ) Chemie studieren . #Papst #fb	ADV VVFIN $( NN ADJD ADJA NE ADJA NN $. PPER VVFIN ADV PIS $. $( NN $. PDS VVFIN $. NE NE VAFIN $( ADV $( NN VVPP $. NN ADJA	2/MO 0/-- 2/-- 7/PNC 6/MO 7/NK 8/ADC 2/CJ 8/-- 9/-- 12/SB 10/-- 12/MO 12/OA 14/-- 15/-- 16/-- 17/-- 20/SB 18/-- 20/-- 23/PNC 24/SB 20/OC 24/-- 28/MO 26/-- 29/OA 24/OC 29/-- 30/-- 31/NK	_ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg|pers=3 _ case=dat|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::SubjectiveFact=false|*=True|pos=True|EmoExpression::markable_40::Sarcasm=false|num=pl|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::Polarity=positive *=True *=True case=nom|gender=fem|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ gender=neut|*=True _ _ case=nom|gender=neut|num=sg _ case=nom|EmoExpression::markable_104013049::SubjectiveFact=false|EmoExpression::markable_104013049::Sarcasm=false|EmoExpression::markable_104013049::EmoExpression=True|gender=neut|EmoExpression::markable_104013049::Uncertain=false|EmoExpression::markable_104013049::Intensity=medium|EmoExpression::markable_104013049::Polarity=positive|num=sg pers=3|EmoExpression::markable_104013049::EmoExpression=True|num=sg|tense=pres|mood=ind _ _ _ pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=fem|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True
311952043193556992	negative	RT @habichthorn : Schon wieder nicht Papst geworden . :(	RT @habichthorn : schon wieder nicht Papst werden . :(	NE NN $. ADV ADV PTKNEG NN VAPP $. ADJA	2/SB 0/-- 2/-- 8/MO 8/MO 8/NG 8/PD 3/NK 8/-- 9/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ _ _ case=nom|gender=masc|num=sg _ _ EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|EmoExpression::markable_41::SubjectiveFact=false|EmoExpression::markable_41::Polarity=negative|EmoExpression::markable_41::Sarcasm=false
311847029989076992	positive	RT @RAStadler : Wenigstens beim Postillon gibt es schon einen Papst . ;-) http://t.co/m8xSQgbWV3	RT @RAStadler : wenigstens bei Postillon geben es schon eine Papst . ;-) http://t.co/m8xSQgbWV3	NE NN $. ADV APPRART NN VVFIN PPER ADV ART NN $. $( CARD	2/SB 0/-- 2/-- 5/MO 7/MO 5/NK 3/-- 7/EP 7/MO 11/NK 7/OA 11/-- 14/-- 12/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false _
311922389388767233	positive	@BadKidLena der Papst spricht aber die ganze zeit ( bei den gebeten ) Latein . Das kann ich ;-)	@BadKidLena die Papst sprechen aber die ganz zeit ( bei die bitten ) Latein . die können ich ;-)	NN ART NN VVFIN ADV ART ADJA APPR $( APPR ART VVPP $( NN $. PDS VMFIN PPER $(	0/-- 3/NK 4/SB 1/-- 4/MO 7/NK 4/OA 7/MNR 8/-- 4/MO 14/NK 14/OC 12/-- 10/NK 14/-- 17/SB 15/-- 17/SB 18/--	case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True _ _ _ case=dat|gender=masc|num=pl _ _ case=acc|gender=masc|num=sg _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True
311901497971601408	mixed	Bin ich jetzt endlich Papst ? :)	sein ich jetzt endlich Papst ? :)	VAFIN PPER ADV ADV NN $. ADJA	0/-- 1/SB 1/MO 1/MO 1/PD 5/-- 6/--	pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ EmoExpression::markable_104013050::Uncertain=false|EmoExpression::markable_104013050::Intensity=medium|EmoExpression::markable_104013050::Sarcasm=false|EmoExpression::markable_104013050::SubjectiveFact=false|EmoExpression::markable_104013050::Polarity=negative|EmoExpression::markable_104013050::EmoExpression=True case=nom|gender=masc|num=sg _ EmoExpression::markable_44::Uncertain=false|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::SubjectiveFact=false|EmoExpression::markable_44::EmoExpression=True|EmoExpression::markable_44::Polarity=positive
311898972736348160	positive	Webcam auf den Rauchfang der Sixtinischen Kapelle . Mehr Action geht nicht ! :-) http://t.co/G7kJc7Qwdk … #konklave #papst #papstwahl	Webcam auf die Rauchfang die Sixtinische Kapelle . mehr Action gehen nicht ! :-) http://t.co/G7kJc7Qwdk … #konklave #papst #papstwahl	NN APPR ART NN ART NN NN $. PIAT NN VVFIN PTKNEG $. $( NN ADJA NN NN NN	0/-- 1/MNR 4/NK 2/NK 6/NK 4/AG 1/CJ 7/-- 10/NK 11/SB 8/-- 11/NG 12/-- 15/-- 13/-- 17/NK 15/NK 15/CJ 18/NK	case=nom|gender=neut|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=gen|gender=fem|num=pl case=gen|gender=fem|num=pl case=acc|gender=fem|num=sg _ *=True case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ EmoExpression::markable_45::SubjectiveFact=false|EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|EmoExpression::markable_45::Polarity=positive|EmoExpression::markable_45::Uncertain=false|EmoExpression::markable_45::Sarcasm=false case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg
311907470903746560	positive	Ein Tintenfisch ;-) RT @PhilippKoerner : Ist es ein Junge oder ein Mädchen ? #Papst	eine Tintenfisch ;-) RT @PhilippKoerner : sein es eine Junge oder eine Mädchen ? #Papst	ART NN $( NE NN $. VAFIN PPER ART NN KON ART NN $. NN	2/NK 0/-- 2/-- 5/PNC 2/CJ 5/-- 6/-- 7/SB 10/NK 7/PD 10/CD 13/NK 11/CJ 13/-- 14/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false|*=True|EmoExpression::markable_46::Polarity=positive *=True case=nom|*=True|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ _
311797493895671808	positive	Habemus Papam - zumindest aus unserem Kamin kommt gerade weißer Rauch :-) #Konklave #Papst	Habemus Papam - zumindest aus unser Kamin kommen gerade weiß Rauch :-) #Konklave #Papst	NN NN $( ADV APPR PPOSAT NN VVFIN ADV ADJA NN $( NN NN	8/SB 1/NK 2/-- 5/MO 1/MNR 7/NK 5/NK 0/-- 8/MO 11/NK 8/SB 11/-- 11/CJ 13/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|pos=True|EmoExpression::markable_104013051::Uncertain=false|EmoExpression::markable_104013051::Intensity=medium|num=sg|EmoExpression::markable_104013051::EmoExpression=True|EmoExpression::markable_104013051::SubjectiveFact=false|EmoExpression::markable_104013051::Polarity=positive|EmoExpression::markable_104013051::Sarcasm=false case=nom|gender=masc|num=sg|EmoExpression::markable_104013051::EmoExpression=True case=nom|EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|gender=masc|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|num=sg|EmoExpression::markable_47::Intensity=medium case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311835450136481792	positive	RUFT JETZT FÜR DEN PAPST AN ! 01379 ... Oder sende eine SMS mit " Konklave1 " an die 666 .... 6 ... :-)	rufen jetzt für die Papst an ! @card@ ... oder senden eine SMS mit " Konklave1 " an die @card@ .... 6 ... :-)	VVFIN ADV APPR ART NN PTKVZ $. CARD $. KON VVFIN ART NE APPR $( NE $( APPR ART CARD NN CARD $. $(	0/-- 1/MO 1/MO 5/NK 3/NK 1/SVP 6/-- 11/CJ 8/-- 11/JU 7/-- 13/NK 11/OA 11/MO 16/-- 14/NK 16/-- 11/MO 21/NK 21/NK 18/NK 21/MNR 22/-- 23/--	_ _ _ *=True *=True _ _ _ _ _ pers=3|num=sg|tense=pres|mood=subj case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ case=dat|gender=fem|num=pl _ _ case=acc|gender=fem|num=sg _ case=acc|gender=neut|num=pl _ _ EmoExpression::markable_48::SubjectiveFact=false|EmoExpression::markable_48::Polarity=positive|EmoExpression::markable_48::Sarcasm=false|EmoExpression::markable_48::Uncertain=false|EmoExpression::markable_48::EmoExpression=True|EmoExpression::markable_48::Intensity=medium
312189671239188480	positive	@AndreasP_RV bezüglich Neugeborenen kA , aber so jung ist der Papst ja nicht . :-)	@AndreasP_RV bezüglich neugeboren kA , aber so jung sein die Papst ja nicht . :-)	NN APPR ADJA NN $, KON ADV ADJD VAFIN ART NN ADV PTKNEG $. $(	0/-- 9/MO 4/NK 2/NK 4/-- 4/CD 8/MO 6/CJ 1/-- 11/NK 9/SB 9/MO 9/NG 13/-- 14/--	case=nom|gender=neut|num=sg _ case=dat|*=True|num=pl case=dat|*=True|num=pl _ _ _ pos=True pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ EmoExpression::markable_49::Polarity=positive|EmoExpression::markable_49::Sarcasm=false|EmoExpression::markable_49::EmoExpression=True|EmoExpression::markable_49::SubjectiveFact=false|EmoExpression::markable_49::Uncertain=false|EmoExpression::markable_49::Intensity=medium
311936077969629184	positive	RT @caporalChien : Zumindest bei der vatikanischen Nationalhymne sollte er Salutieren ;-) #papst	RT @caporalChien : zumindest bei die vatikanisch Nationalhymne sollen er Salutieren ;-) #papst	NE NN $. ADV APPR ART ADJA NN VMFIN PPER NN $( NN	2/SB 0/-- 2/-- 5/MO 9/MO 8/NK 8/NK 5/NK 3/-- 9/SB 9/OA 11/-- 9/PAR	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg pers=3|num=sg|tense=past|mood=ind case=nom|gender=masc|num=sg|pers=3 case=acc|gender=fem|num=pl EmoExpression::markable_50::Intensity=medium|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True case=acc|gender=fem|num=sg
311903352650887168	positive	@ArminWolf weißer Rauch - also kein Afrikanischer Papst :-)	@ArminWolf weiß Rauch - also keine afrikanisch Papst :-)	NN ADJA NN $( ADV PIAT ADJA NN $(	0/-- 3/NK 1/-- 3/-- 8/MO 8/NK 8/NK 3/CJ 8/--	case=nom|gender=masc|num=sg case=nom|gender=masc|EmoExpression::markable_104013052::Sarcasm=false|pos=True|EmoExpression::markable_104013052::EmoExpression=True|EmoExpression::markable_104013052::Intensity=medium|EmoExpression::markable_104013052::Uncertain=false|num=sg|EmoExpression::markable_104013052::SubjectiveFact=false|EmoExpression::markable_104013052::Polarity=positive case=nom|gender=masc|num=sg|EmoExpression::markable_104013052::EmoExpression=True _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg EmoExpression::markable_51::Intensity=medium|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Uncertain=false|EmoExpression::markable_51::Polarity=positive|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::SubjectiveFact=false
311909257857597440	positive	RT @ProSieben : Gutes Datum , gutes Omen ? Der neue #Papst ist am 13 . März 2013  gewählt .	RT @ProSieben : gut Datum , gut Omen ? die neu #Papst sein an 13 . März @card@ wählen .	NE ADJD $. ADJA NN $, ADJA NN $. ART ADJA NN VAFIN APPRART CARD $. NN CARD VVPP $.	0/-- 1/PD 2/-- 5/NK 3/-- 5/-- 8/NK 5/CJ 8/-- 12/NK 12/NK 13/SB 9/-- 19/MO 19/MO 15/-- 14/NK 17/NK 13/OC 19/--	case=nom|*=True|num=sg _ _ case=nom|Sentiment::markable_52::Intensity=medium|EmoExpression::markable_54::EmoExpression=True|EmoExpression::markable_54::SubjectiveFact=false|EmoExpression::markable_54::Uncertain=false|gender=neut|EmoExpression::markable_54::Polarity=positive|pos=True|Sentiment::markable_52::Polarity=positive|EmoExpression::markable_54::Sarcasm=false|num=sg|Sentiment::markable_52::Sentiment=True|Sentiment::markable_52::Sarcasm=false|EmoExpression::markable_54::Intensity=medium case=nom|num=sg|Sentiment::markable_52::Sentiment=True|Target::markable_53::Preferred=true|gender=neut|Target::markable_53::Target=True|Target::markable_53::Anaphref=empty _ case=nom|Sentiment::markable_55::Sentiment=True|Sentiment::markable_55::Sarcasm=false|EmoExpression::markable_57::Intensity=medium|gender=neut|pos=True|Sentiment::markable_55::Intensity=medium|EmoExpression::markable_57::Uncertain=false|num=sg|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::SubjectiveFact=false|Sentiment::markable_55::Polarity=positive|EmoExpression::markable_57::Polarity=positive|EmoExpression::markable_57::EmoExpression=True case=nom|num=sg|Sentiment::markable_55::Sentiment=True|Target::markable_56::Preferred=true|gender=neut|Target::markable_56::Target=True|Target::markable_56::Anaphref=empty _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|gender=masc|num=sg _ _ case=dat|gender=masc|num=sg _ _ _
311907600788762626	positive	Umziehen , Treue schwören , beten : Das strenge Protokoll , das der #Papst erfüllen muss , bevor er auf den Balkon tritt : http://t.co/ZzwPZ2ikqV	Umziehen , Treue schwören , beten : die streng Protokoll , die die #Papst erfüllen müssen , bevor er auf die Balkon treten : http://t.co/ZzwPZ2ikqV	NN $, NN VVINF $, VVINF $. ART ADJA NN $, PRELS ART NN VVINF VMFIN $, KOUS PPER APPR ART NN VVFIN $. NE	0/-- 1/-- 4/SB 1/OC 4/-- 4/CJ 6/-- 10/NK 10/NK 1/APP 10/-- 15/OA 14/NK 16/SB 16/OC 10/RC 16/-- 23/CP 23/SB 23/MO 22/NK 20/NK 16/MO 23/-- 23/SB	case=nom|gender=neut|num=pl _ case=nom|EmoExpression::markable_104013053::SubjectiveFact=false|gender=neut|EmoExpression::markable_104013053::Intensity=medium|num=pl|EmoExpression::markable_104013053::EmoExpression=True|EmoExpression::markable_104013053::Uncertain=false|EmoExpression::markable_104013053::Polarity=positive|EmoExpression::markable_104013053::Sarcasm=false pers=3|num=pl|tense=pres|mood=ind|EmoExpression::markable_104013053::EmoExpression=True _ pers=3|num=pl|tense=pres|mood=ind _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ case=acc|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ _ case=nom|gender=masc|num=sg|pers=3 _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|*=True|num=sg
312106121945026560	negative	@BuliLive typisch Bayern kaum ist der neue Papst da und schon haben sie ihn in der Tasche ....	@BuliLive typisch Bayern kaum sein die neu Papst da und schon haben sie er in die Tasche ....	NN ADJD NE ADV VAFIN ART ADJA NN PTKVZ KON ADV VAFIN PPER PPER APPR ART NN ADJA	0/-- 5/PD 5/SB 5/MO 1/-- 8/NK 8/NK 5/SB 5/MO 5/CD 12/MO 10/CJ 12/SB 18/OA 18/MO 17/NK 15/NK 12/MO	case=nom|gender=fem|num=sg EmoExpression::markable_104013054::Sarcasm=false|EmoExpression::markable_104013054::Uncertain=false|EmoExpression::markable_104013054::Intensity=medium|EmoExpression::markable_104013054::SubjectiveFact=false|EmoExpression::markable_104013054::Polarity=negative|pos=True|EmoExpression::markable_104013054::EmoExpression=True case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ _ pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=3 case=acc|gender=masc|num=sg|pers=3 EmoExpression::markable_104013055::EmoExpression=True|EmoExpression::markable_104013055::Uncertain=false|EmoExpression::markable_104013055::Intensity=medium|EmoExpression::markable_104013055::SubjectiveFact=false|EmoExpression::markable_104013055::Sarcasm=false|EmoExpression::markable_104013055::Polarity=negative case=dat|gender=fem|num=sg|EmoExpression::markable_104013055::EmoExpression=True case=dat|gender=fem|num=sg|EmoExpression::markable_104013055::EmoExpression=True case=gen|gender=masc|num=pl|pos=True
311911804001480706	mixed	Heute enden nun endlich die Gerüchte um Lewandowski ! #Papst	heute enden nun endlich die Gerücht um Lewandowski ! #Papst	ADV VVFIN ADV ADV ART NN APPR NE $. NN	2/MO 0/-- 2/MO 2/MO 6/NK 2/SB 6/MNR 7/NK 8/-- 9/--	_ pers=3|num=pl|tense=pres|mood=ind _ EmoExpression::markable_10050096::Intensity=weak|EmoExpression::markable_10050096::SubjectiveFact=false|EmoExpression::markable_10050096::Uncertain=false|EmoExpression::markable_10050096::Sarcasm=false|EmoExpression::markable_10050096::EmoExpression=True|EmoExpression::markable_10050096::Polarity=positive case=acc|gender=neut|num=pl case=acc|EmoExpression::markable_104013056::Uncertain=false|gender=neut|EmoExpression::markable_104013056::Intensity=medium|EmoExpression::markable_104013056::EmoExpression=True|num=pl|EmoExpression::markable_104013056::Sarcasm=false|EmoExpression::markable_104013056::SubjectiveFact=false|EmoExpression::markable_104013056::Polarity=negative _ case=acc|gender=neut|num=sg _ _
311949908074708992	positive	Faymann redet grad irgendwas zum neuen #Papst . " Ich hoffe , er setzt sich für den Frieden ein " ..	Faymann reden grad irgendwas zu neu #Papst . " ich hoffen , er setzen sich für die Frieden eine " ..	NE VVFIN ADJD PIS APPRART ADJA NN $. $( PPER VVFIN $, PPER VVFIN PRF APPR ART NN ART $( ADJA	2/SB 0/-- 2/MO 2/MO 2/OP 7/NK 5/NK 7/-- 8/-- 11/SB 9/-- 11/-- 14/SB 11/OC 14/OA 14/MO 18/NK 16/NK 21/NK 19/-- 14/SB	case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind pos=True gender=neut|*=True case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg _ case=acc|gender=masc|num=sg case=acc|EmoExpression::markable_10050097::EmoExpression=True|EmoExpression::markable_10050097::Sarcasm=false|gender=masc|EmoExpression::markable_10050097::SubjectiveFact=false|EmoExpression::markable_10050097::Polarity=positive|EmoExpression::markable_10050097::Uncertain=false|num=sg|EmoExpression::markable_10050097::Intensity=medium case=acc|gender=neut|num=sg _ case=acc|gender=neut|num=sg|pos=True
311918640335294466	negative	RT @sara__weber : Und am Ende ist es immer nur ein alter Mann #Papst #Balkon	RT @sara__weber : und an Ende sein es immer nur eine alt Mann #Papst #Balkon	NE NN $. KON APPRART NN VAFIN PPER ADV ADV ART ADJA NN NN NN	2/SB 0/-- 2/-- 7/JU 7/MO 5/NK 3/-- 7/SB 7/MO 13/MO 13/NK 13/NK 7/PD 13/NK 7/PD	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ _ case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_104013057::Intensity=medium|EmoExpression::markable_104013057::Sarcasm=false|gender=masc|pos=True|EmoExpression::markable_104013057::Polarity=negative|num=sg|EmoExpression::markable_104013057::SubjectiveFact=true|EmoExpression::markable_104013057::EmoExpression=True|EmoExpression::markable_104013057::Uncertain=false case=nom|gender=masc|EmoExpression::markable_104013057::EmoExpression=True|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311922656121339904	negative	RT @ArminWolf : Der neue Papst 2010  zur Einführung der Homo - Ehe in Argentinien : " Schachzug des Teufels " .	RT @ArminWolf : die neu Papst @card@ zu Einführung die Homo - Ehe in Argentinien : " Schachzug die Teufel " .	NE NN $. ART ADJA NN CARD APPRART NN ART NN $( NN APPR NE $. $( NN ART NN $( $.	2/SB 0/-- 2/-- 6/NK 6/NK 3/-- 6/NK 6/MNR 8/NK 11/NK 9/AG 11/-- 11/PAR 13/MNR 14/NK 15/-- 16/-- 13/APP 20/NK 18/AG 20/-- 21/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|Sentiment::markable_10050124::Sentiment=True|gender=masc|Source::markable_10050125::Source=True|num=sg|Sentiment::markable_10050124::Intensity=medium|Source::markable_10050125::Anaphref=empty|Sentiment::markable_10050124::Polarity=negative|Sentiment::markable_10050124::Sarcasm=false case=nom|Sentiment::markable_10050124::Sentiment=True|num=sg|gender=masc|pos=True|Source::markable_10050125::Source=True case=nom|gender=masc|Sentiment::markable_10050124::Sentiment=True|num=sg|Source::markable_10050125::Source=True Sentiment::markable_10050124::Sentiment=True|Source::markable_10050125::Source=True case=dat|gender=fem|Sentiment::markable_10050124::Sentiment=True|num=sg case=dat|Sentiment::markable_10050124::Sentiment=True|num=sg|gender=fem|Target::markable_10050126::Anaphref=empty|Target::markable_10050126::Preferred=true|Target::markable_10050126::Target=True case=gen|gender=fem|Target::markable_10050126::Target=True|num=sg|Sentiment::markable_10050124::Sentiment=True case=gen|gender=fem|Target::markable_10050126::Target=True|num=sg|Sentiment::markable_10050124::Sentiment=True Target::markable_10050126::Target=True|Sentiment::markable_10050124::Sentiment=True case=nom|gender=fem|Target::markable_10050126::Target=True|num=sg|Sentiment::markable_10050124::Sentiment=True Target::markable_10050126::Target=True|Sentiment::markable_10050124::Sentiment=True case=dat|gender=neut|Target::markable_10050126::Target=True|num=sg|Sentiment::markable_10050124::Sentiment=True Sentiment::markable_10050124::Sentiment=True case=nom|gender=masc|Sentiment::markable_10050124::Sentiment=True|num=sg|pos=True case=nom|gender=masc|Sentiment::markable_10050124::Sentiment=True|num=sg case=gen|gender=masc|Sentiment::markable_10050124::Sentiment=True|num=sg case=gen|EmoExpression::markable_10050098::Polarity=negative|Sentiment::markable_10050124::Sentiment=True|EmoExpression::markable_10050098::Sarcasm=false|gender=masc|EmoExpression::markable_10050098::SubjectiveFact=false|EmoExpression::markable_10050098::EmoExpression=True|EmoExpression::markable_10050098::Uncertain=false|num=sg|EmoExpression::markable_10050098::Intensity=medium Sentiment::markable_10050124::Sentiment=True Sentiment::markable_10050124::Sentiment=True
311914760415358977	negative	der neue papst is schon wieder zurückgetreten	die neu Papst is schon wieder zurücktreten	ART ADJA NN NE ADV ADV VVPP	3/NK 3/NK 0/-- 3/NK 6/MO 7/MO 3/OC	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ EmoExpression::markable_104013058::Polarity=negative|EmoExpression::markable_104013058::EmoExpression=True|EmoExpression::markable_104013058::Uncertain=false|EmoExpression::markable_104013058::Intensity=medium|EmoExpression::markable_104013058::Sarcasm=false|EmoExpression::markable_104013058::SubjectiveFact=true
311922484914032640	negative	RT @Johscherer : soso , der neue #Papst hat also in Deutschland promoviert . Wohlan denn , ihr tapferen Plagiatskreuzritter , auf ihn mit Geb ...	RT @Johscherer : soso , die neu #Papst haben also in Deutschland promovieren . wohlan denn , ihr tapfer Plagiatskreuzritter , auf er mit Geb ...	NE NN $. ADJD $, ART ADJA NN VAFIN ADV APPR NE VVPP $. ADV ADV $, PPOSAT ADJA NN $, APPR PPER APPR NE $.	2/SB 0/-- 2/-- 13/MO 4/-- 8/NK 8/NK 9/SB 3/-- 13/MO 13/MO 11/NK 9/OC 13/-- 14/-- 15/MO 16/-- 20/NK 20/NK 16/APP 20/-- 14/-- 22/NK 22/MO 24/NK 25/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=neut|num=sg _ _ _ _ _ case=acc|gender=neut|num=sg case=dat|gender=neut|num=pl|comp=True case=gen|*=True|num=pl _ EmoExpression::markable_104013059::Polarity=negative|EmoExpression::markable_104013059::Sarcasm=false|EmoExpression::markable_104013059::Uncertain=false|EmoExpression::markable_104013059::Intensity=medium|EmoExpression::markable_104013059::SubjectiveFact=false|EmoExpression::markable_104013059::EmoExpression=True case=acc|gender=masc|num=sg|EmoExpression::markable_104013059::EmoExpression=True|pers=3 EmoExpression::markable_104013059::EmoExpression=True case=dat|*=True|num=sg|EmoExpression::markable_104013059::EmoExpression=True _
