311904570395734016	positive	Ob das das Internet aushält ? Soviel Papst auf einmal . Habemus ... %PosSmiley	ob die die Internet aushalten ? soviele Papst auf einmal . Habemus ... %PosSmiley	KOUS PDS ART NN VVFIN $. PIAT NN APPR ADV $. NN $. ITJ	5/CP 5/SB 4/NK 5/SB 0/-- 5/-- 8/NK 0/-- 8/MNR 9/NK 10/-- 0/-- 12/-- 12/NK	_ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ *=True case=nom|*=True|num=sg _ _ _ case=nom|gender=masc|num=sg _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
311927420708085760	positive	Schon geht ' s los %PosSmiley Chemie . Ich sage jetzt nichts . " Das knallt : Franziskus I. hat ( auch ) Chemie studiert . Papst fb	schon gehen ' s los %PosSmiley Chemie . ich sagen jetzt nichts . " die knallen : Franziskus I. haben ( auch ) Chemie studieren . Papst fb	ADV VVFIN $( NN PTKVZ ITJ NN $. PPER VVFIN ADV PIS $. $( PDS VVFIN $. NE NE VAFIN $( ADV $( NN VVPP $. NN NN	2/MO 0/-- 2/-- 2/SB 2/SVP 2/DM 6/NK 7/-- 10/SB 0/-- 10/MO 10/OA 12/-- 13/-- 16/SB 0/-- 16/-- 19/PNC 20/SB 16/OC 20/-- 24/MO 22/-- 25/OA 20/OC 25/-- 0/-- 27/NK	_ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg|pers=3 _ _ case=nom|gender=fem|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ gender=neut|*=True _ _ case=nom|EmoExpression::markable_104013049::SubjectiveFact=false|EmoExpression::markable_104013049::Sarcasm=false|EmoExpression::markable_104013049::EmoExpression=True|gender=neut|EmoExpression::markable_104013049::Uncertain=false|EmoExpression::markable_104013049::Intensity=medium|EmoExpression::markable_104013049::Polarity=positive|num=sg pers=3|EmoExpression::markable_104013049::EmoExpression=True|num=sg|tense=pres|mood=ind _ _ _ pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=fem|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311952043193556992	negative	Schon wieder nicht Papst geworden . %NegSmiley	schon wieder nicht Papst werden . %NegSmiley	ADV ADV PTKNEG NN VAPP $. ITJ	5/MO 5/MO 5/NG 5/PD 0/NK 5/-- 0/NK	_ _ _ case=nom|gender=masc|num=sg _ _ EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|EmoExpression::markable_41::SubjectiveFact=false|EmoExpression::markable_41::Polarity=negative|EmoExpression::markable_41::Sarcasm=false
311847029989076992	positive	Wenigstens beim Postillon gibt es schon einen Papst . %PosSmiley %Link	wenigstens bei Postillon geben es schon eine Papst . %PosSmiley %Link	ADV APPRART NN VVFIN PPER ADV ART NN $. ITJ XY	2/MO 4/MO 2/NK 0/-- 4/EP 4/MO 8/NK 4/OA 8/-- 11/NK 0/--	_ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false _
311922389388767233	positive	der Papst spricht aber die ganze zeit ( bei den gebeten ) Latein . Das kann ich %PosSmiley	die Papst sprechen aber die ganz zeit ( bei die bitten ) Latein . die können ich %PosSmiley	ART NN VVFIN ADV ART ADJA APPR $( APPR ART VVPP $( NN $. PDS VMFIN PPER ITJ	2/NK 3/SB 0/-- 3/MO 6/NK 3/OA 6/MNR 7/-- 3/MO 13/NK 13/OC 11/-- 9/NK 13/-- 16/SB 0/-- 16/SB 16/DM	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True _ _ _ case=dat|gender=masc|num=pl _ _ case=acc|gender=masc|num=sg _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True
311901497971601408	mixed	Bin ich jetzt endlich Papst ? %PosSmiley	sein ich jetzt endlich Papst ? %PosSmiley	VAFIN PPER ADV ADV NN $. ITJ	0/-- 1/SB 1/MO 1/MO 1/PD 5/-- 5/NK	pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ EmoExpression::markable_104013050::Uncertain=false|EmoExpression::markable_104013050::Intensity=medium|EmoExpression::markable_104013050::Sarcasm=false|EmoExpression::markable_104013050::SubjectiveFact=false|EmoExpression::markable_104013050::Polarity=negative|EmoExpression::markable_104013050::EmoExpression=True case=nom|gender=masc|num=sg _ EmoExpression::markable_44::Uncertain=false|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::SubjectiveFact=false|EmoExpression::markable_44::EmoExpression=True|EmoExpression::markable_44::Polarity=positive
311898972736348160	positive	Webcam auf den Rauchfang der Sixtinischen Kapelle . Mehr Action geht nicht ! %PosSmiley %Link ... konklave papst papstwahl	Webcam auf die Rauchfang die Sixtinische Kapelle . mehr Action gehen nicht ! %PosSmiley %Link ... Konklave papst papstwahl	NN APPR ART NN ART NN NN $. PIAT NN VVFIN PTKNEG $. ITJ XY $. NN ADJA ADJA	0/-- 1/MNR 4/NK 2/NK 6/NK 4/AG 1/CJ 7/-- 10/NK 11/SB 0/-- 11/NG 12/-- 12/NK 0/-- 15/-- 18/SB 0/-- 18/CC	case=nom|gender=neut|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=gen|gender=fem|num=pl case=gen|gender=fem|num=pl case=acc|gender=fem|num=sg _ *=True case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ EmoExpression::markable_45::SubjectiveFact=false|EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|EmoExpression::markable_45::Polarity=positive|EmoExpression::markable_45::Uncertain=false|EmoExpression::markable_45::Sarcasm=false _ _ case=nom|gender=neut|num=pl pers=2|num=sg|tense=pres|mood=ind *=True|pos=True
311907470903746560	neutral	Ein Tintenfisch %PosSmiley Ist es ein Junge oder ein Mädchen ? Papst	eine Tintenfisch %PosSmiley sein es eine Junge oder eine Mädchen ? Papst	ART NN ITJ VAFIN PPER ART NN KON ART NN $. NN	2/NK 4/PD 2/NK 0/-- 4/SB 7/NK 4/PD 7/CD 10/NK 8/CJ 10/-- 0/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=dat|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ case=nom|gender=masc|num=sg
311797493895671808	positive	Habemus Papam - zumindest aus unserem Kamin kommt gerade weist er Rauch %PosSmiley Konklave Papst	Habemus Papam - zumindest aus unser Kamin kommen gerade weisen er Rauch %PosSmiley Konklave Papst	NN NN $( ADV APPR PPOSAT NN VVFIN ADV VVFIN PPER NN ITJ NN NN	8/SB 1/NK 2/-- 5/MO 1/MNR 7/NK 5/NK 10/RS 8/MO 0/-- 10/SB 10/OA 14/NK 12/NK 12/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|EmoExpression::markable_104013051::Uncertain=false|pers=3|EmoExpression::markable_104013051::Intensity=medium|num=sg|EmoExpression::markable_104013051::EmoExpression=True|EmoExpression::markable_104013051::SubjectiveFact=false|EmoExpression::markable_104013051::Polarity=positive|EmoExpression::markable_104013051::Sarcasm=false case=acc|gender=masc|num=sg|EmoExpression::markable_104013051::EmoExpression=True case=acc|EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|gender=masc|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|num=sg|EmoExpression::markable_47::Intensity=medium case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311835450136481792	positive	RUFT JETZT FÜR DEN PAPST AN ! 01379 ... Oder sende eine SMS mit " Konklave1 " an die 666 ... 6 ... %PosSmiley	rufen jetzt für die Papst an ! @card@ ... oder senden eine SMS mit " Konklave1 " an die @card@ ... 6 ... %PosSmiley	VVFIN ADV APPR ART NN PTKVZ $. CARD $. KON VVFIN ART NE APPR $( NE $( APPR ART CARD $. CARD $. ITJ	0/-- 1/MO 1/MO 5/NK 3/NK 1/SVP 6/-- 11/CJ 8/-- 11/JU 0/-- 13/NK 11/OA 11/MO 16/-- 14/NK 16/-- 11/MO 22/NK 22/NMC 20/-- 18/NK 22/-- 18/MO	_ _ _ *=True *=True _ _ _ _ _ pers=3|num=sg|tense=pres|mood=subj case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ case=dat|gender=fem|num=pl _ _ case=acc|gender=fem|num=sg _ _ _ _ EmoExpression::markable_48::SubjectiveFact=false|EmoExpression::markable_48::Polarity=positive|EmoExpression::markable_48::Sarcasm=false|EmoExpression::markable_48::Uncertain=false|EmoExpression::markable_48::EmoExpression=True|EmoExpression::markable_48::Intensity=medium
312189671239188480	positive	bezüglich Neugeborenen kA , aber so jung ist der Papst ja nicht . %PosSmiley	bezüglich neugeboren kA , aber so jung sein die Papst ja nicht . %PosSmiley	APPR ADJA NN $, KON ADV ADJD VAFIN ART NN ADV PTKNEG $. ITJ	8/MO 3/NK 1/NK 3/-- 3/CD 7/MO 5/CJ 0/-- 10/NK 8/SB 8/MO 8/NG 12/-- 0/NK	_ case=dat|*=True|num=pl case=dat|*=True|num=pl _ _ _ pos=True pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ EmoExpression::markable_49::Polarity=positive|EmoExpression::markable_49::Sarcasm=false|EmoExpression::markable_49::EmoExpression=True|EmoExpression::markable_49::SubjectiveFact=false|EmoExpression::markable_49::Uncertain=false|EmoExpression::markable_49::Intensity=medium
311936077969629184	positive	Zumindest bei der vatikanischen Nationalhymne sollte er Salutieren %PosSmiley papst	zumindest bei die vatikanisch Nationalhymne sollen er Salutieren %PosSmiley papst	ADV APPR ART ADJA NN VMFIN PPER NN ITJ ADJA	2/MO 6/MO 5/NK 5/NK 2/NK 0/-- 6/SB 10/OA 8/NK 6/OC	_ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg pers=3|num=sg|tense=past|mood=ind case=nom|gender=masc|num=sg|pers=3 case=acc|gender=fem|num=pl EmoExpression::markable_50::Intensity=medium|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True pers=3|num=sg|tense=pres|mood=ind
311903352650887168	positive	weist er Rauch - also kein Afrikanischer Papst %PosSmiley	weisen er Rauch - also keine afrikanisch Papst %PosSmiley	VVFIN PPER NE $( ADV PIAT ADJA NN ITJ	0/-- 1/SB 1/OA 3/-- 1/MO 8/NK 8/NK 1/SB 8/NK	pers=3|num=sg|tense=pres|mood=ind case=nom|EmoExpression::markable_104013052::EmoExpression=True|gender=masc|EmoExpression::markable_104013052::Sarcasm=false|pers=3|EmoExpression::markable_104013052::Intensity=medium|EmoExpression::markable_104013052::Uncertain=false|num=sg|EmoExpression::markable_104013052::SubjectiveFact=false|EmoExpression::markable_104013052::Polarity=positive case=acc|gender=masc|num=sg|EmoExpression::markable_104013052::EmoExpression=True _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg EmoExpression::markable_51::Intensity=medium|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Uncertain=false|EmoExpression::markable_51::Polarity=positive|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::SubjectiveFact=false
311909257857597440	positive	Gutes Datum , gutes Omen ? Der neue Papst ist am 13 . März 2013 gewählt .	gut Datum , gut Omen ? die neu Papst sein an 13 . März @card@ wählen .	ADJA NN $, ADJA NN $. ART ADJA NN VAFIN APPRART CARD $. NN CARD VVPP $.	2/NK 0/-- 2/-- 5/NK 2/CJ 5/-- 9/NK 9/NK 10/SB 0/-- 16/MO 16/MO 12/-- 11/NK 14/NK 10/OC 16/--	case=nom|Sentiment::markable_52::Intensity=medium|EmoExpression::markable_54::EmoExpression=True|EmoExpression::markable_54::SubjectiveFact=false|EmoExpression::markable_54::Uncertain=false|gender=neut|EmoExpression::markable_54::Polarity=positive|pos=True|Sentiment::markable_52::Polarity=positive|EmoExpression::markable_54::Sarcasm=false|num=sg|Sentiment::markable_52::Sentiment=True|Sentiment::markable_52::Sarcasm=false|EmoExpression::markable_54::Intensity=medium case=nom|num=sg|Sentiment::markable_52::Sentiment=True|Target::markable_53::Preferred=true|gender=neut|Target::markable_53::Target=True|Target::markable_53::Anaphref=empty _ case=nom|Sentiment::markable_55::Sentiment=True|Sentiment::markable_55::Sarcasm=false|EmoExpression::markable_57::Intensity=medium|gender=neut|pos=True|Sentiment::markable_55::Intensity=medium|EmoExpression::markable_57::Uncertain=false|num=sg|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::SubjectiveFact=false|Sentiment::markable_55::Polarity=positive|EmoExpression::markable_57::Polarity=positive|EmoExpression::markable_57::EmoExpression=True case=nom|num=sg|Sentiment::markable_55::Sentiment=True|Target::markable_56::Preferred=true|gender=neut|Target::markable_56::Target=True|Target::markable_56::Anaphref=empty _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|gender=masc|num=sg _ _ case=dat|gender=masc|num=sg _ _ _
311907600788762626	positive	Umziehen , Treue schwören , beten : Das strenge Protokoll , das der Papst erfüllen muss , bevor er auf den Balkon tritt :	Umziehen , Treue schwören , beten : die streng Protokoll , die die Papst erfüllen müssen , bevor er auf die Balkon treten :	NN $, NN VVINF $, VVINF $. ART ADJA NN $, PRELS ART NN VVINF VMFIN $, KOUS PPER APPR ART NN VVFIN $.	0/-- 1/-- 4/SB 1/OC 4/-- 4/CJ 6/-- 10/NK 10/NK 1/APP 10/-- 15/OA 14/NK 16/SB 16/OC 10/RC 16/-- 23/CP 23/SB 23/MO 22/NK 20/NK 16/MO 23/--	case=nom|gender=neut|num=pl _ case=nom|EmoExpression::markable_104013053::SubjectiveFact=false|gender=neut|EmoExpression::markable_104013053::Intensity=medium|num=pl|EmoExpression::markable_104013053::EmoExpression=True|EmoExpression::markable_104013053::Uncertain=false|EmoExpression::markable_104013053::Polarity=positive|EmoExpression::markable_104013053::Sarcasm=false pers=3|num=pl|tense=pres|mood=ind|EmoExpression::markable_104013053::EmoExpression=True _ pers=3|num=pl|tense=pres|mood=ind _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ case=acc|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ _ case=nom|gender=masc|num=sg|pers=3 _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _
312106121945026560	negative	typisch Bayern kaum ist der neue Papst da und schon haben sie ihn in der Tasche ...	typisch Bayern kaum sein die neu Papst da und schon haben sie er in die Tasche ...	ADJD NE ADV VAFIN ART ADJA NN PTKVZ KON ADV VAFIN PPER PPER APPR ART NN $.	4/PD 4/SB 4/MO 0/-- 7/NK 7/NK 4/SB 4/MO 4/CD 11/MO 9/CJ 11/SB 12/APP 11/MO 16/NK 14/NK 16/--	EmoExpression::markable_104013054::Sarcasm=false|EmoExpression::markable_104013054::Uncertain=false|EmoExpression::markable_104013054::Intensity=medium|EmoExpression::markable_104013054::SubjectiveFact=false|EmoExpression::markable_104013054::Polarity=negative|pos=True|EmoExpression::markable_104013054::EmoExpression=True case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ _ pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=3 case=acc|gender=masc|num=sg|pers=3 EmoExpression::markable_104013055::EmoExpression=True|EmoExpression::markable_104013055::Uncertain=false|EmoExpression::markable_104013055::Intensity=medium|EmoExpression::markable_104013055::SubjectiveFact=false|EmoExpression::markable_104013055::Sarcasm=false|EmoExpression::markable_104013055::Polarity=negative case=dat|gender=fem|num=sg|EmoExpression::markable_104013055::EmoExpression=True case=dat|gender=fem|num=sg|EmoExpression::markable_104013055::EmoExpression=True _
311911804001480706	mixed	Heute enden nun endlich die Gerüchte um Lewandowski ! Papst	heute enden nun endlich die Gerücht um Lewandowski ! Papst	ADV VVFIN ADV ADV ART NN APPR NE $. NN	2/MO 0/-- 2/MO 2/MO 6/NK 2/SB 6/MNR 7/NK 8/-- 0/--	_ pers=3|num=pl|tense=pres|mood=ind _ EmoExpression::markable_10050096::Intensity=weak|EmoExpression::markable_10050096::SubjectiveFact=false|EmoExpression::markable_10050096::Uncertain=false|EmoExpression::markable_10050096::Sarcasm=false|EmoExpression::markable_10050096::EmoExpression=True|EmoExpression::markable_10050096::Polarity=positive case=acc|gender=neut|num=pl case=acc|EmoExpression::markable_104013056::Uncertain=false|gender=neut|EmoExpression::markable_104013056::Intensity=medium|EmoExpression::markable_104013056::EmoExpression=True|num=pl|EmoExpression::markable_104013056::Sarcasm=false|EmoExpression::markable_104013056::SubjectiveFact=false|EmoExpression::markable_104013056::Polarity=negative _ case=acc|gender=neut|num=sg _ case=nom|gender=masc|num=sg
311949908074708992	positive	Faymann redet gerade irgendwas zum neuen Papst . " Ich hoffe , er setzt sich für den Frieden ein " ..	Faymann reden gerade irgendwas zu neu Papst . " ich hoffen , er setzen sich für die Frieden eine " ..	NE VVFIN ADV PIS APPRART ADJA NN $. $( PPER VVFIN $, PPER VVFIN PRF APPR ART NN ART $( ADJA	2/SB 0/-- 4/MO 2/OA 2/OP 7/NK 5/NK 7/-- 8/-- 11/SB 0/-- 11/-- 14/SB 11/OC 14/OA 14/MO 18/NK 16/NK 21/NK 19/-- 14/SB	case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind _ gender=neut|*=True case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg _ case=acc|gender=masc|num=sg case=acc|EmoExpression::markable_10050097::EmoExpression=True|EmoExpression::markable_10050097::Sarcasm=false|gender=masc|EmoExpression::markable_10050097::SubjectiveFact=false|EmoExpression::markable_10050097::Polarity=positive|EmoExpression::markable_10050097::Uncertain=false|num=sg|EmoExpression::markable_10050097::Intensity=medium case=acc|gender=neut|num=sg _ case=acc|gender=neut|num=sg|pos=True
311918640335294466	negative	Und am Ende ist es immer nur ein alter Mann Papst Balkon	und an Ende sein es immer nur eine alt Mann Papst Balkon	KON APPRART NN VAFIN PPER ADV ADV ART ADJA NN NN NN	4/JU 4/MO 2/NK 0/-- 4/SB 4/MO 10/MO 10/NK 10/NK 4/PD 10/NK 4/PD	_ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ _ case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_104013057::Intensity=medium|EmoExpression::markable_104013057::Sarcasm=false|gender=masc|pos=True|EmoExpression::markable_104013057::Polarity=negative|num=sg|EmoExpression::markable_104013057::SubjectiveFact=true|EmoExpression::markable_104013057::EmoExpression=True|EmoExpression::markable_104013057::Uncertain=false case=nom|gender=masc|EmoExpression::markable_104013057::EmoExpression=True|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311922656121339904	negative	Der neue Papst 2010 zur Einführung der Homo - Ehe in Argentinien : " Schachzug des Teufels " .	die neu Papst @card@ zu Einführung die Homo - Ehe in Argentinien : " Schachzug die Teufel " .	ART ADJA NN CARD APPRART NN ART NN $( NN APPR NE $. $( NN ART NN $( $.	3/NK 3/NK 0/-- 3/NK 3/MNR 5/NK 8/NK 6/AG 8/-- 8/PAR 10/MNR 11/NK 12/-- 13/-- 10/APP 17/NK 15/AG 17/-- 18/--	case=nom|Sentiment::markable_10050124::Sentiment=True|gender=masc|Source::markable_10050125::Source=True|num=sg|Sentiment::markable_10050124::Intensity=medium|Source::markable_10050125::Anaphref=empty|Sentiment::markable_10050124::Polarity=negative|Sentiment::markable_10050124::Sarcasm=false case=nom|Sentiment::markable_10050124::Sentiment=True|num=sg|gender=masc|pos=True|Source::markable_10050125::Source=True case=nom|gender=masc|Sentiment::markable_10050124::Sentiment=True|num=sg|Source::markable_10050125::Source=True Sentiment::markable_10050124::Sentiment=True|Source::markable_10050125::Source=True case=dat|gender=fem|Sentiment::markable_10050124::Sentiment=True|num=sg case=dat|Sentiment::markable_10050124::Sentiment=True|num=sg|gender=fem|Target::markable_10050126::Anaphref=empty|Target::markable_10050126::Preferred=true|Target::markable_10050126::Target=True case=gen|gender=fem|Target::markable_10050126::Target=True|num=sg|Sentiment::markable_10050124::Sentiment=True case=gen|gender=fem|Target::markable_10050126::Target=True|num=sg|Sentiment::markable_10050124::Sentiment=True Target::markable_10050126::Target=True|Sentiment::markable_10050124::Sentiment=True case=nom|gender=fem|Target::markable_10050126::Target=True|num=sg|Sentiment::markable_10050124::Sentiment=True Target::markable_10050126::Target=True|Sentiment::markable_10050124::Sentiment=True case=dat|gender=neut|Target::markable_10050126::Target=True|num=sg|Sentiment::markable_10050124::Sentiment=True Sentiment::markable_10050124::Sentiment=True case=nom|gender=masc|Sentiment::markable_10050124::Sentiment=True|num=sg|pos=True case=nom|gender=masc|Sentiment::markable_10050124::Sentiment=True|num=sg case=gen|gender=masc|Sentiment::markable_10050124::Sentiment=True|num=sg case=gen|EmoExpression::markable_10050098::Polarity=negative|Sentiment::markable_10050124::Sentiment=True|EmoExpression::markable_10050098::Sarcasm=false|gender=masc|EmoExpression::markable_10050098::SubjectiveFact=false|EmoExpression::markable_10050098::EmoExpression=True|EmoExpression::markable_10050098::Uncertain=false|num=sg|EmoExpression::markable_10050098::Intensity=medium Sentiment::markable_10050124::Sentiment=True Sentiment::markable_10050124::Sentiment=True
311914760415358977	negative	der neue papst is schon wieder zurückgetreten	die neu Papst is schon wieder zurücktreten	ART ADJA NN NE ADV ADV VVPP	3/NK 3/NK 0/-- 0/NK 6/MO 7/MO 3/OC	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ EmoExpression::markable_104013058::Polarity=negative|EmoExpression::markable_104013058::EmoExpression=True|EmoExpression::markable_104013058::Uncertain=false|EmoExpression::markable_104013058::Intensity=medium|EmoExpression::markable_104013058::Sarcasm=false|EmoExpression::markable_104013058::SubjectiveFact=true
311922484914032640	negative	soso , der neue Papst hat also in Deutschland promoviert . Wohlan denn , ihr tapferen Plagiatskreuzritter , auf ihn mit Gebe ...	soso , die neu Papst haben also in Deutschland promovieren . wohlan denn , ihr tapfer Plagiatskreuzritter , auf er mit geben ...	VVFIN $, ART ADJA NN VAFIN ADV APPR NE VVPP $. ADV ADV $, PPOSAT ADJA NN $, APPR PPER PTKVZ VVFIN $.	10/MO 1/-- 5/NK 5/NK 6/SB 0/-- 10/MO 10/MO 8/NK 6/OC 10/-- 13/MO 22/MO 13/-- 17/NK 17/NK 13/APP 17/-- 22/MO 19/NK 22/SVP 0/-- 22/--	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=neut|num=sg _ _ _ _ _ case=acc|gender=neut|num=sg case=dat|gender=neut|num=pl|comp=True case=gen|*=True|num=pl _ EmoExpression::markable_104013059::Polarity=negative|EmoExpression::markable_104013059::Sarcasm=false|EmoExpression::markable_104013059::Uncertain=false|EmoExpression::markable_104013059::Intensity=medium|EmoExpression::markable_104013059::SubjectiveFact=false|EmoExpression::markable_104013059::EmoExpression=True case=acc|gender=masc|num=sg|EmoExpression::markable_104013059::EmoExpression=True|pers=3 EmoExpression::markable_104013059::EmoExpression=True pers=3|num=sg|tense=pres|mood=subj|EmoExpression::markable_104013059::EmoExpression=True _
311918804424876032	neutral	Der Argentinier Jorge Mario Kardinal Bergoglio ist der neue Papst Franziskus , der Erste . HabemusPapam	die Argentinier Jorge Mario Kardinal Bergoglio sein die neu Papst Franziskus , die Erste . HabemusPapam	ART NN NE NE NN NE VAFIN ART ADJA NN NE $, ART NN $. NE	2/NK 7/SB 6/PNC 6/PNC 6/PNC 2/NK 0/-- 10/NK 10/NK 7/PD 10/NK 11/-- 14/NK 10/APP 14/-- 0/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=neut|num=sg
311904638251188224	neutral	Ich erhöhe : Und unverheiratet . Ok , da gehen wir mit ! Und älter als 44 Jahre ! Es wird ein Mann ...	ich erhöhen : und unverheiratet . Ok , da gehen wir mit ! und alt als 44 Jahr ! es werden eine Mann ...	PPER VVFIN $. KON ADJD $. NE $, ADV VVFIN PPER PTKVZ $. KON ADJD KOKOM CARD NN $. PPER VAFIN ART NN $.	2/SB 0/-- 2/-- 5/CD 2/MO 5/-- 9/RE 7/-- 10/MO 0/-- 10/SB 10/SVP 12/-- 15/JU 0/-- 18/CM 18/NK 15/CC 18/-- 21/SB 0/-- 23/NK 21/SB 23/--	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ pos=True _ _ _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ _ comp=True _ _ case=nom|gender=neut|num=pl _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _
