332946021107769344	neutral	Grüne stellen Bedingungen für Koalition in Salzburg zB aus für Wasserkraft . Energieautonomie ade !	Grüne stellen Bedingung für Koalition in Salzburg zB aus für Wasserkraft . Energieautonomie ade !	NN VVFIN NN APPR NN APPR NE VVFIN APPR APPR NE $. ADJA ITJ $.	2/SB 0/-- 2/OA 3/MNR 4/NK 5/MNR 6/NK 2/SVP 2/SVP 2/MO 10/NK 11/-- 0/-- 0/NK 13/--	case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|gender=fem|num=pl _ case=acc|gender=fem|num=sg _ case=dat|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ _ case=acc|gender=fem|num=sg _ _ _ _
324236244890558464	mixed	Und der beliebteste von unserer verehrten Bundeskanzlerin Angie . Deswegen dürfen wir jetzt ja auch noch länger ran ... %NegSmiley	und die beliebt von unser verehrt Bundeskanzlerin Angie . deswegen dürfen wir jetzt ja auch noch lang ran ... %NegSmiley	KON ART ADJA APPR PPOSAT ADJA NN NE $. PAV VMFIN PPER ADV ADV ADV ADV ADJD PTKVZ $. ITJ	3/JU 3/NK 0/-- 3/MNR 7/NK 7/NK 4/NK 7/NK 8/-- 18/NK 0/-- 11/SB 11/MO 11/MO 11/MO 17/MO 11/MO 11/MO 18/-- 18/NK	Sentiment::markable_53::Sentiment=True|Sentiment::markable_53::Sarcasm=false|Sentiment::markable_53::Intensity=strong|Sentiment::markable_53::Polarity=positive case=nom|Target::markable_55::Target=True|num=sg|Target::markable_55::Anaphref=empty|gender=masc|Sentiment::markable_53::Sentiment=True|Target::markable_55::Preferred=true case=nom|EmoExpression::markable_56::Intensity=strong|EmoExpression::markable_56::EmoExpression=True|Target::markable_55::Target=True|gender=masc|Sentiment::markable_53::Sentiment=True|EmoExpression::markable_56::Polarity=positive|EmoExpression::markable_56::Sarcasm=false|EmoExpression::markable_56::SubjectiveFact=false|num=sg|sup=True|EmoExpression::markable_56::Uncertain=false Sentiment::markable_53::Sentiment=True case=dat|Sentiment::markable_57::Polarity=negative|Source::markable_53::Anaphref=empty|Sentiment::markable_57::Sarcasm=true|gender=fem|Sentiment::markable_53::Sentiment=True|Source::markable_53::Source=True|Target::markable_57::Preferred=true|num=sg|Sentiment::markable_57::Intensity=medium|Target::markable_57::Anaphref=empty|Target::markable_57::Target=True|Sentiment::markable_57::Sentiment=True case=dat|EmoExpression::markable_57::SubjectiveFact=false|Source::markable_53::Source=True|gender=fem|Sentiment::markable_53::Sentiment=True|pos=True|EmoExpression::markable_57::Polarity=positive|EmoExpression::markable_57::Uncertain=false|num=sg|EmoExpression::markable_57::Sarcasm=true|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::EmoExpression=True|Target::markable_57::Target=True|Sentiment::markable_57::Sentiment=True case=dat|num=sg|Target::markable_57::Target=True|gender=fem|Sentiment::markable_53::Sentiment=True|Source::markable_53::Source=True|Sentiment::markable_57::Sentiment=True case=nom|num=sg|Target::markable_57::Target=True|gender=fem|Sentiment::markable_53::Sentiment=True|Source::markable_53::Source=True|Sentiment::markable_57::Sentiment=True _ Target::markable_51::Target=True|Sentiment::markable_50::Intensity=medium|Target::markable_51::Preferred=true|Sentiment::markable_50::Sarcasm=false|Sentiment::markable_50::Polarity=negative|Sentiment::markable_50::Sentiment=True|Target::markable_51::Anaphref=empty pers=1|num=pl|tense=pres|mood=ind|Sentiment::markable_50::Sentiment=True|Target::markable_51::Target=True case=nom|pers=1|num=pl|Target::markable_51::Target=True|Sentiment::markable_50::Sentiment=True|*=True Sentiment::markable_50::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_50::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_50::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_50::Sentiment=True|Target::markable_51::Target=True comp=True|Sentiment::markable_50::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_50::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_50::Sentiment=True EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|EmoExpression::markable_52::SubjectiveFact=false|EmoExpression::markable_52::Polarity=negative|EmoExpression::markable_52::Sarcasm=false|Sentiment::markable_50::Sentiment=True
332586535268532225	neutral	Browsergames : Bundeskampf - Kämpfe für dein Bundesland ! Bei uns erbeutest du Bier und bekämpfst Mitspieler :	Browsergames : Bundeskampf - Kampf für dein Bundesland ! bei wir erbeutest du Bier und bekämpfst Mitspieler :	NN $. NN $( NN APPR PPOSAT NN $. APPR PPER VVFIN PPER NN KON VVFIN NN $.	0/-- 1/-- 1/SB 3/-- 3/PAR 5/MNR 8/NK 6/NK 8/-- 12/MO 10/NK 0/-- 12/SB 12/OA 12/CD 15/CJ 16/OA 17/--	case=nom|gender=neut|num=sg|pos=True _ case=nom|gender=masc|num=sg _ case=acc|gender=masc|num=pl _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ _ case=dat|*=True|num=pl|pers=1 pers=2|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 case=acc|gender=neut|num=sg _ pers=2|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=pl _
336255655205797889	positive	aber wenn man das so liest ( schwarz - gelb , rot ) ist es eher belgien ! %PosSmiley lasttweet	aber wenn man die so lesen ( schwarz - gelb , rot ) sein es eher belgien ! %PosSmiley lasttweet	ADV KOUS PIS PDS ADV VVFIN $( ADJD $( ADJD $, ADJD $( VAFIN PPER ADV ADJD $. ITJ VVFIN	6/MO 6/CP 6/SB 6/OA 6/MO 14/MO 6/-- 10/MO 8/-- 14/PD 10/-- 10/CJ 12/-- 0/-- 14/SB 17/MO 14/PD 17/-- 17/DM 0/--	Sentiment::markable_61::Sentiment=True|Sentiment::markable_61::Polarity=positive|Sentiment::markable_61::Sarcasm=false|Sentiment::markable_61::Intensity=medium Sentiment::markable_61::Sentiment=True|Target::markable_62::Target=True|Target::markable_62::Preferred=true|Target::markable_62::Anaphref=empty case=nom|*=True|Sentiment::markable_61::Sentiment=True|num=sg|Target::markable_62::Target=True case=acc|gender=neut|Sentiment::markable_61::Sentiment=True|num=sg|Target::markable_62::Target=True Sentiment::markable_61::Sentiment=True|Target::markable_62::Target=True pers=3|Sentiment::markable_61::Sentiment=True|num=sg|tense=pres|mood=ind|Target::markable_62::Target=True Sentiment::markable_61::Sentiment=True|Target::markable_62::Target=True Sentiment::markable_61::Sentiment=True|Target::markable_62::Target=True|pos=True Sentiment::markable_61::Sentiment=True|Target::markable_62::Target=True Sentiment::markable_61::Sentiment=True|Target::markable_62::Target=True|pos=True Sentiment::markable_61::Sentiment=True|Target::markable_62::Target=True Sentiment::markable_61::Sentiment=True|Target::markable_62::Target=True|pos=True Sentiment::markable_61::Sentiment=True|Target::markable_62::Target=True pers=3|Sentiment::markable_61::Sentiment=True|num=sg|tense=pres|mood=ind|Target::markable_62::Target=True case=nom|pers=3|Sentiment::markable_61::Sentiment=True|num=sg|Target::markable_62::Target=True|gender=neut Sentiment::markable_61::Sentiment=True|Target::markable_62::Target=True Sentiment::markable_61::Sentiment=True|Target::markable_62::Target=True|pos=True Sentiment::markable_61::Sentiment=True EmoExpression::markable_60::Polarity=positive|Sentiment::markable_61::Sentiment=True|EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false|EmoExpression::markable_60::Uncertain=false pers=3|num=sg|tense=pres|mood=ind
332944854994780161	neutral	Der hat bei der CDU schon vor 1/2 Jahr begonnen ! Bspe . Kritik an Steinbrücke es Honoraren aber keine Verschärfung mittragen ...	die haben bei die CDU schon vor 1/2 Jahr beginnen ! Bspe . Kritik an Steinbrücke es Honorar aber keine Verschärfung mittragen ...	PDS VAFIN APPR ART NE ADV APPR CARD NN VVPP $. NN $. NN APPR NN PPER NN ADV PIAT NN VVINF $.	2/SB 0/-- 10/MO 5/NK 3/NK 7/MO 10/MO 9/NK 7/NK 2/OC 10/-- 0/-- 12/-- 22/OA 14/OP 15/NK 22/OA 22/OA 22/MO 21/NK 22/OA 0/-- 22/--	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ _ gender=neut|*=True|num=sg _ _ case=nom|gender=fem|num=sg _ case=acc|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=nom|gender=neut|num=sg|pers=3 case=acc|gender=fem|num=pl _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _
338040542619394048	neutral	Dachte schon , von PannenPeer kommt nichts mehr - spd Steinbrück holt Agenda - Gegner Pronold ins Team	denken schon , von PannenPeer kommen nichts mehr - spd Steinbrück holen Agenda - Gegner Pronold in Team	VVFIN ADV $, APPR NN VVFIN PIS PIAT $( ADJA NN VVFIN NN $( NN NE APPRART NN	12/MO 1/MO 2/-- 6/MO 4/NK 1/SB 11/NK 11/NK 8/-- 11/NK 6/SB 0/-- 12/OA 13/-- 13/APP 15/NK 12/MO 17/NK	pers=3|num=sg|tense=past|mood=ind _ _ _ case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind gender=neut|*=True _ _ case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg
325335463432970240	mixed	Bin ich froh nicht mehr in der SPD zu sein , diese Politik des totsparens dieser Partei in Sachsen Anhalt könnte ich nicht mehr vertreten .	sein ich froh nicht mehr in die SPD zu sein , dies Politik die totsparens dies Partei in Sachsen Anhalt können ich nicht mehr vertreten .	VAFIN PPER ADJD PTKNEG ADV APPR ART NE PTKZU VAINF $, PDAT NN ART NN PDAT NN APPR NE NE VMFIN PPER PTKNEG ADV VVPP $.	0/-- 1/SB 10/MO 10/NG 4/MO 10/MO 8/NK 6/NK 10/PM 1/OC 10/-- 13/NK 21/SB 15/NK 13/AG 17/NK 15/AG 15/MNR 20/PNC 18/NK 9/NK 21/SB 21/NG 23/MO 21/OC 25/--	mood=ind|Sentiment::markable_63::Intensity=medium|Sentiment::markable_63::Sentiment=True|Sentiment::markable_63::Sarcasm=false|pers=1|num=sg|tense=pres|Sentiment::markable_63::Polarity=negative case=nom|pers=1|num=sg|gender=masc|Sentiment::markable_63::Sentiment=True|Source::markable_64::Anaphref=empty|Source::markable_64::Source=True EmoExpression::markable_65::Intensity=medium|Sentiment::markable_63::Sentiment=True|pos=True|EmoExpression::markable_65::EmoExpression=True|EmoExpression::markable_65::Uncertain=false|EmoExpression::markable_65::Polarity=positive|EmoExpression::markable_65::Sarcasm=false|EmoExpression::markable_65::SubjectiveFact=false Negation::markable_68::Negation=True|Negation::markable_68::EmoExpressionRef=emo-expression:markable_65|Target::markable_66::Anaphref=empty|Target::markable_66::Preferred=true|Sentiment::markable_63::Sentiment=True|Target::markable_66::Target=True Sentiment::markable_63::Sentiment=True|Target::markable_66::Target=True Sentiment::markable_63::Sentiment=True|Target::markable_66::Target=True case=dat|gender=fem|num=sg|Sentiment::markable_63::Sentiment=True|Target::markable_66::Target=True case=dat|gender=fem|num=sg|Sentiment::markable_63::Sentiment=True|Target::markable_66::Target=True Sentiment::markable_63::Sentiment=True|Target::markable_66::Target=True Sentiment::markable_63::Sentiment=True|Target::markable_66::Target=True _ case=acc|Sentiment::markable_67::Sentiment=True|Target::markable_69::Target=True|gender=fem|Sentiment::markable_67::Sarcasm=false|Target::markable_69::Anaphref=empty|Sentiment::markable_67::Polarity=positive|num=sg|Target::markable_69::Preferred=true|Sentiment::markable_67::Intensity=medium case=acc|gender=fem|Target::markable_69::Target=True|num=sg|Sentiment::markable_67::Sentiment=True case=gen|gender=neut|Target::markable_69::Target=True|num=sg|Sentiment::markable_67::Sentiment=True case=gen|EmoExpression::markable_104013588::EmoExpression=True|EmoExpression::markable_104013588::Uncertain=false|EmoExpression::markable_104013588::SubjectiveFact=false|gender=neut|EmoExpression::markable_104013588::Polarity=negative|Target::markable_69::Target=True|num=sg|EmoExpression::markable_104013588::Intensity=medium|EmoExpression::markable_104013588::Sarcasm=false|Sentiment::markable_67::Sentiment=True case=gen|gender=fem|Target::markable_69::Target=True|num=sg|Sentiment::markable_67::Sentiment=True case=gen|gender=fem|Target::markable_69::Target=True|num=sg|Sentiment::markable_67::Sentiment=True Target::markable_69::Target=True|Sentiment::markable_67::Sentiment=True case=dat|gender=neut|Target::markable_69::Target=True|num=sg|Sentiment::markable_67::Sentiment=True case=nom|gender=masc|Target::markable_69::Target=True|num=sg|Sentiment::markable_67::Sentiment=True pers=1|Sentiment::markable_67::Sentiment=True|num=sg|tense=past|mood=subj case=nom|pers=1|Source::markable_70::Source=True|num=sg|Source::markable_70::Anaphref=empty|*=True|Sentiment::markable_67::Sentiment=True Negation::markable_72::Negation=True|Sentiment::markable_67::Sentiment=True|Negation::markable_72::EmoExpressionRef=emo-expression:markable_71 Sentiment::markable_67::Sentiment=True Sentiment::markable_67::Sentiment=True|EmoExpression::markable_71::Uncertain=false|EmoExpression::markable_71::Intensity=medium|EmoExpression::markable_71::Sarcasm=false|EmoExpression::markable_71::SubjectiveFact=false|EmoExpression::markable_71::EmoExpression=True|EmoExpression::markable_71::Polarity=positive _
338074230707068929	neutral	Hier wird erklärt wie das mit der Politik ist	hier werden erklären wie die mit die Politik sein	ADV VAFIN VVPP KOKOM PDS APPR ART NN VAFIN	3/MO 0/-- 2/OC 5/CM 9/SB 5/MNR 8/NK 6/NK 2/CJ	_ pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=neut|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind
323879979895115776	negative	Angriff auf FDP - Nachwuchsorganisation : Hacker veröffentlichen Mitgliedesdaten der Jungen Liberalen	Angriff auf FDP - Nachwuchsorganisation : Hacker veröffentlichen Mitgliedesdaten die jung liberal	NN APPR NE $( NN $. NN VVFIN NN ART ADJA ADJA	0/-- 1/MNR 2/NK 3/-- 1/PAR 5/-- 8/SB 1/CJ 8/SB 12/NK 12/NK 9/AG	case=nom|EmoExpression::markable_104013589::EmoExpression=True|gender=masc|EmoExpression::markable_104013589::Polarity=negative|EmoExpression::markable_104013589::Sarcasm=false|num=sg|EmoExpression::markable_104013589::SubjectiveFact=true|EmoExpression::markable_104013589::Uncertain=false|EmoExpression::markable_104013589::Intensity=medium _ case=acc|gender=fem|num=sg _ case=acc|gender=fem|num=sg _ case=acc|EmoExpression::markable_104013611::EmoExpression=True|gender=masc|EmoExpression::markable_104013611::Uncertain=true|num=pl|EmoExpression::markable_104013611::SubjectiveFact=true|EmoExpression::markable_104013611::Sarcasm=false|EmoExpression::markable_104013611::Polarity=negative|EmoExpression::markable_104013611::Intensity=medium case=acc|gender=masc|num=pl|pos=True case=acc|gender=masc|num=pl case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl|pos=True case=gen|gender=masc|num=pl
332727133266919424	neutral	Das unbekannte DDR - Leben der Kanzlerin - Stand sie dem System näher als bisher bekannt ? Merkel %Link btw13 cdu	die unbekannt DDR - Leben die Kanzlerin - stehen sie die System nah als bisher bekannt ? Merkel %Link btw13 cdu	ART ADJA NE $( NN ART NN $( VVFIN PPER ART NN ADJD KOKOM ADV ADJD $. NE XY VVFIN NN	3/NK 3/NK 9/SB 3/-- 3/APP 7/NK 5/AG 7/-- 0/-- 9/SB 12/NK 9/DA 9/MO 16/CM 16/MO 13/CC 16/-- 20/SB 0/-- 0/-- 20/OA	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg _ pers=3|num=sg|tense=past|mood=ind case=nom|gender=fem|num=sg|pers=3 case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg comp=True _ _ pos=True _ case=nom|*=True|num=sg case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg
319219891427221504	positive	Oh cool ! SPD bekommt eigene Briefmarke : Freue mich drauf : Anspucken und draufhauen , aber rich ...	oh cool ! SPD bekommen eigen Briefmarke : freuen ich drauf : Anspucken und draufhauen , aber rich ...	ITJ ADJD $. NE VVFIN ADJA NN $. VVFIN PRF PAV $. NN KON VVFIN $, KON VVFIN $.	2/DM 0/-- 2/-- 5/SB 0/-- 7/NK 9/SB 7/-- 18/OC 9/OA 9/NK 5/-- 5/OA 5/CD 14/CJ 15/-- 15/CD 17/CJ 18/--	Sentiment::markable_74::Sentiment=True EmoExpression::markable_73::EmoExpression=True|EmoExpression::markable_73::Intensity=medium|EmoExpression::markable_73::SubjectiveFact=false|pos=True|EmoExpression::markable_73::Polarity=positive|EmoExpression::markable_73::Uncertain=false|Sentiment::markable_74::Sentiment=True|EmoExpression::markable_73::Sarcasm=false Sentiment::markable_74::Sentiment=True case=nom|num=sg|Sentiment::markable_74::Sentiment=True|Target::markable_75::Target=True|gender=fem|Target::markable_75::Anaphref=empty|Target::markable_75::Preferred=true pers=3|num=sg|tense=pres|mood=ind|Target::markable_75::Target=True|Sentiment::markable_74::Sentiment=True case=nom|num=sg|Sentiment::markable_74::Sentiment=True|Target::markable_75::Target=True|gender=fem|pos=True case=nom|gender=fem|Target::markable_75::Target=True|num=sg|Sentiment::markable_74::Sentiment=True Sentiment::markable_74::Sentiment=True Sentiment::markable_77::Sentiment=True|mood=subj|EmoExpression::markable_78::Polarity=positive|EmoExpression::markable_78::Sarcasm=false|EmoExpression::markable_78::Intensity=medium|Sentiment::markable_77::Sarcasm=false|Sentiment::markable_77::Polarity=positive|pers=3|num=sg|tense=pres|EmoExpression::markable_78::Uncertain=false|EmoExpression::markable_78::SubjectiveFact=false|Sentiment::markable_77::Intensity=medium|EmoExpression::markable_78::EmoExpression=True case=acc|pers=3|num=sg|EmoExpression::markable_78::EmoExpression=True|Sentiment::markable_77::Sentiment=True Target::markable_79::Preferred=true|Sentiment::markable_77::Sentiment=True|Target::markable_79::Target=True|Target::markable_79::Anaphref=markable_80 Sentiment::markable_77::Sentiment=True case=acc|Target::markable_80::Preferred=true|EmoExpression::markable_104013590::Sarcasm=false|EmoExpression::markable_104013590::Polarity=negative|Sentiment::markable_77::Sentiment=True|gender=masc|EmoExpression::markable_104013590::Uncertain=false|EmoExpression::markable_104013590::Intensity=medium|Target::markable_80::Anaphref=empty|num=pl|Target::markable_80::Target=True|EmoExpression::markable_104013590::EmoExpression=True|EmoExpression::markable_104013590::SubjectiveFact=false Sentiment::markable_77::Sentiment=True|Target::markable_80::Target=True Sentiment::markable_77::Sentiment=True|EmoExpression::markable_104013591::EmoExpression=True|mood=ind|pers=3|EmoExpression::markable_104013591::SubjectiveFact=false|num=pl|tense=pres|Target::markable_80::Target=True|EmoExpression::markable_104013591::Polarity=negative|EmoExpression::markable_104013591::Uncertain=false|EmoExpression::markable_104013591::Sarcasm=false|EmoExpression::markable_104013591::Intensity=medium _ _ pers=2|num=sg|mood=imp _
322787262117056512	negative	Ist es nicht verfassungsfeindlich was hier in Deutschland mittlerwiele täglich an Hetze , Zwang und U Politik ...	sein es nicht verfassungsfeindlich was hier in Deutschland mittlerwiele täglich an Hetze , Zwang und U Politik ...	VAFIN PPER PTKNEG ADJD PIS ADV APPR NE NE ADJD APPR NN $, NN KON NN NN $.	0/-- 1/SB 1/NG 1/PD 1/SB 1/MO 1/MO 7/NK 8/NK 1/PD 10/OP 11/NK 12/-- 12/CJ 14/CD 15/CJ 16/NK 17/--	pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ pos=True gender=neut|*=True _ _ case=dat|gender=neut|num=sg case=nom|*=True|num=pl pos=True _ case=dat|EmoExpression::markable_104013592::Uncertain=false|gender=fem|EmoExpression::markable_104013592::Intensity=medium|EmoExpression::markable_104013592::Sarcasm=false|EmoExpression::markable_104013592::SubjectiveFact=false|num=sg|EmoExpression::markable_104013592::Polarity=negative|EmoExpression::markable_104013592::EmoExpression=True _ case=dat|EmoExpression::markable_104013593::Intensity=medium|EmoExpression::markable_104013593::Polarity=negative|gender=masc|EmoExpression::markable_104013593::Uncertain=false|num=sg|EmoExpression::markable_104013593::EmoExpression=True|EmoExpression::markable_104013593::SubjectiveFact=false|EmoExpression::markable_104013593::Sarcasm=false _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _
323173114630508545	neutral	Schulterschluss dank Nordkorea - Krise - DIE WELT	Schulterschluss dank Nordkorea - Krise - die WELT	NN APPR NE $( NN $( ART NE	0/-- 1/MNR 2/NK 3/-- 1/PAR 7/-- 8/NK 0/--	case=nom|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ case=nom|gender=fem|num=sg _ *=True *=True
333750942019244032	positive	DDR - Biografie : Merkels Gelassenheit bei der Frage zum Dezember 1989 War Angela Merkel in der DDR schon früher politis	DDR - Biografie : Merkel Gelassenheit bei die Frage zu Dezember 1989 sein Angela Merkel in die DDR schon früher politis	NE $( NN $. NE NN APPR ART NN APPRART NN CARD VAFIN NE NE APPR ART NE ADV ADV ADJA	3/SB 1/-- 13/CJ 3/-- 6/AG 13/SB 6/MNR 9/NK 7/NK 9/MNR 10/NK 11/NK 0/-- 15/PNC 13/SB 13/MO 18/NK 16/NK 13/MO 21/MO 13/PD	case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ case=gen|*=True|num=sg case=acc|EmoExpression::markable_104013594::Polarity=positive|EmoExpression::markable_104013594::Sarcasm=false|gender=fem|EmoExpression::markable_104013594::SubjectiveFact=false|num=sg|EmoExpression::markable_104013594::Uncertain=true|EmoExpression::markable_104013594::Intensity=weak|EmoExpression::markable_104013594::EmoExpression=True _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ pers=3|num=sg|tense=past|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ comp=True case=dat|gender=fem|num=pl|pos=True
334774182653071360	negative	Die Piraten im NRW - Landtag haben ihrem Unmut über Innenminister Ralf Jäger ( SPD ) Luft gemacht . Achtung	die Pirat in NRW - Landtag haben ihr Unmut über Innenminister Ralf Jäger ( SPD ) Luft machen . Achtung	ART NN APPRART NE $( NN VAFIN PPOSAT NN APPR NN NE NE $( NE $( NN VVPP $. NN	2/NK 7/SB 2/MNR 3/NK 4/-- 4/PNC 0/-- 9/NK 18/DA 9/MNR 10/NK 13/PNC 11/NK 13/-- 11/PAR 15/-- 18/OA 7/OC 18/-- 0/--	case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=sg pers=3|num=pl|tense=pres|mood=ind case=dat|gender=masc|num=sg case=dat|EmoExpression::markable_104013595::Polarity=negative|EmoExpression::markable_104013595::EmoExpression=True|gender=masc|num=sg|EmoExpression::markable_104013595::Uncertain=false|EmoExpression::markable_104013595::Intensity=medium|EmoExpression::markable_104013595::Sarcasm=false|EmoExpression::markable_104013595::SubjectiveFact=false _ case=acc|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=fem|num=sg _ case=acc|gender=fem|num=sg _ _ case=nom|gender=fem|num=sg
324238115222994944	negative	Du hast die Wahl : 250 Euro , oder ich komm zu dir &gt; %PosSmiley Letzteres wäre eher eine Qual , darum würde ich an deiner stelle das Geld nehmen .	du haben die Wahl : @card@ Euro , oder ich kommen zu du &gt; %PosSmiley Letztere sein eher eine Qual , darum werden ich an dein stellen die Geld nehmen .	PPER VAFIN ART NN $. CARD NN $, KON PPER VVIMP APPR PPER $( ITJ NN VAFIN ADV ART NN $, PAV VAFIN PPER APPR PPOSAT VVFIN ART NN VVINF $.	2/SB 0/-- 4/NK 2/OA 4/-- 7/NK 2/OA 7/-- 2/CD 17/SB 23/OC 10/MNR 16/NK 13/-- 16/NK 12/NK 9/CJ 17/MO 20/NK 17/PD 20/-- 13/NK 17/CJ 23/SB 30/MO 25/NK 30/MO 29/NK 30/OA 23/OC 30/--	case=nom|*=True|num=sg|pers=2 pers=2|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ Sentiment::markable_82::Polarity=negative|Sentiment::markable_82::Intensity=medium|Sentiment::markable_82::Sarcasm=false|Sentiment::markable_82::Sentiment=True gender=masc|*=True|Sentiment::markable_82::Sentiment=True Sentiment::markable_82::Sentiment=True Sentiment::markable_82::Sentiment=True case=nom|*=True|Target::markable_83::Preferred=true|pers=1|num=sg|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True|Target::markable_83::Anaphref=empty pers=1|num=sg|tense=past|mood=ind|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Sentiment::markable_82::Sentiment=True EmoExpression::markable_81::SubjectiveFact=false|EmoExpression::markable_81::Intensity=medium|EmoExpression::markable_81::EmoExpression=True|Sentiment::markable_82::Sentiment=True|EmoExpression::markable_81::Polarity=positive|EmoExpression::markable_81::Uncertain=false|EmoExpression::markable_81::Sarcasm=false case=nom|gender=neut|num=sg|Sentiment::markable_82::Sentiment=True pers=3|num=sg|tense=past|mood=subj|Sentiment::markable_82::Sentiment=True Sentiment::markable_82::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_82::Sentiment=True case=nom|EmoExpression::markable_84::Sarcasm=false|EmoExpression::markable_84::EmoExpression=True|EmoExpression::markable_84::Uncertain=false|EmoExpression::markable_84::Intensity=medium|gender=fem|EmoExpression::markable_84::Polarity=negative|num=sg|Sentiment::markable_82::Sentiment=True|EmoExpression::markable_84::SubjectiveFact=false _ _ pers=1|num=sg|tense=past|mood=subj case=nom|*=True|num=sg|pers=1 _ case=dat|gender=fem|num=sg pers=1|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ _
