327476868259409922	positive	Cheets ! %Link schauen wir mal , ob der %User gerade raus geht %PosSmiley fb	Cheets ! %Link schauen wir mal , ob die %User gerade raus gehen %PosSmiley fb	NN $. XY VVFIN PPER ADV $, KOUS ART NE ADV ADV VVFIN ITJ NN	0/-- 1/-- 0/-- 0/-- 4/SB 4/MO 6/-- 13/CP 10/NK 13/SB 12/MO 13/MO 4/OC 15/NK 13/SB	_ _ pos=True pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium case=acc|gender=fem|num=sg
327431527006879746	positive	AH wie gaaaaalioo %PosSmiley *-* icj kann dich mitnehmen %PosSmiley	ah wie gaaaaalioo %PosSmiley *-* icj können du mitnehmen %PosSmiley	ITJ KOKOM NE ITJ XY ADJD VMFIN PPER VVINF ITJ	7/DM 7/CM 7/SB 6/DM 4/NK 7/MO 0/-- 7/SB 7/OC 7/DM	EmoExpression::markable_62::SubjectiveFact=false|Sentiment::markable_65::Intensity=medium|EmoExpression::markable_62::Polarity=positive|Sentiment::markable_65::Sentiment=True|Sentiment::markable_65::Sarcasm=false|Sentiment::markable_65::Polarity=positive|EmoExpression::markable_62::EmoExpression=True|EmoExpression::markable_62::Sarcasm=false|EmoExpression::markable_62::Uncertain=false|EmoExpression::markable_62::Intensity=strong Sentiment::markable_65::Sentiment=True case=nom|EmoExpression::markable_100500240::Intensity=medium|EmoExpression::markable_100500240::Polarity=positive|Sentiment::markable_65::Sentiment=True|*=True|EmoExpression::markable_100500240::SubjectiveFact=false|num=sg|EmoExpression::markable_100500240::EmoExpression=True|EmoExpression::markable_100500240::Sarcasm=false|EmoExpression::markable_100500240::Uncertain=false EmoExpression::markable_63::Polarity=positive|EmoExpression::markable_63::Sarcasm=false|Sentiment::markable_65::Sentiment=True|EmoExpression::markable_63::EmoExpression=True|EmoExpression::markable_63::SubjectiveFact=false|EmoExpression::markable_63::Uncertain=false|EmoExpression::markable_63::Intensity=strong case=nom|EmoExpression::markable_64::Sarcasm=false|EmoExpression::markable_64::SubjectiveFact=false|Sentiment::markable_65::Sentiment=True|EmoExpression::markable_64::EmoExpression=True|*=True|EmoExpression::markable_64::Intensity=medium|num=sg|EmoExpression::markable_64::Polarity=positive|EmoExpression::markable_64::Uncertain=false Target::markable_66::Preferred=true|Target::markable_66::Target=True|Sentiment::markable_65::Sentiment=True|Target::markable_66::Anaphref=empty pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_65::Sentiment=True|Target::markable_66::Target=True case=acc|pers=2|num=sg|Sentiment::markable_65::Sentiment=True|Target::markable_66::Target=True Sentiment::markable_65::Sentiment=True|Target::markable_66::Target=True EmoExpression::markable_100500241::Uncertain=false|EmoExpression::markable_100500241::Polarity=positive|EmoExpression::markable_100500241::Sarcasm=false|EmoExpression::markable_100500241::Intensity=medium|EmoExpression::markable_100500241::SubjectiveFact=false|EmoExpression::markable_100500241::EmoExpression=True
327504501709864961	positive	Morgen Mädelsabend mit 2 Freundinnen die ich schon länger nicht gesehen habe %PosSmiley ♥	Morgen Mädelsabend mit 2 Freundin die ich schon lang nicht sehen haben %PosSmiley ♥	NN NN APPR CARD NN PRELS PPER ADV ADJD PTKNEG VVPP VAFIN ITJ ADJD	0/-- 1/NK 1/MNR 5/NK 3/NK 11/OA 12/SB 9/MO 11/MO 11/NG 12/OC 1/RC 14/DM 1/PD	case=nom|Sentiment::markable_100500246::Sentiment=True|Target::markable_100500247::Anaphref=empty|gender=fem|Target::markable_100500247::Target=True|Target::markable_100500247::Preferred=true|num=pl|Sentiment::markable_100500246::Sarcasm=false|Sentiment::markable_100500246::Polarity=positive|Sentiment::markable_100500246::Intensity=medium case=nom|gender=fem|Sentiment::markable_100500246::Sentiment=True|num=pl|Target::markable_100500247::Target=True Sentiment::markable_100500246::Sentiment=True|Target::markable_100500247::Target=True Sentiment::markable_100500246::Sentiment=True|Target::markable_100500247::Target=True case=dat|gender=fem|Sentiment::markable_100500246::Sentiment=True|num=pl|Target::markable_100500247::Target=True case=acc|gender=fem|Sentiment::markable_100500246::Sentiment=True|num=sg case=nom|*=True|Sentiment::markable_100500246::Sentiment=True|num=sg|pers=1 Sentiment::markable_100500246::Sentiment=True comp=True|Sentiment::markable_100500246::Sentiment=True Sentiment::markable_100500246::Sentiment=True Sentiment::markable_100500246::Sentiment=True pers=3|Sentiment::markable_100500246::Sentiment=True|num=sg|tense=pres|mood=subj case=acc|EmoExpression::markable_100500248::EmoExpression=True|Sentiment::markable_100500246::Sentiment=True|EmoExpression::markable_100500248::SubjectiveFact=false|EmoExpression::markable_100500248::Polarity=positive|EmoExpression::markable_100500248::Uncertain=false|pers=3|EmoExpression::markable_100500248::Intensity=medium|num=sg|EmoExpression::markable_100500248::Sarcasm=false Sentiment::markable_100500246::Sentiment=True|EmoExpression::markable_100500249::SubjectiveFact=false|EmoExpression::markable_100500249::EmoExpression=True|EmoExpression::markable_100500249::Uncertain=false|EmoExpression::markable_100500249::Polarity=positive|EmoExpression::markable_100500249::Sarcasm=false|EmoExpression::markable_100500249::Intensity=medium
322393349573210113	positive	Mörgeli sollte einmal mehr auf Blocher hören %PosSmiley : " Es gibt eine Zeit zum Schweigen und eine Zeit zum Reden . Nun ist ...	Mörgeli sollen einmal mehr auf Blocher hören %PosSmiley : " es geben eine Zeit zu Schweigen und eine Zeit zu Rede|Reden . nun sein ...	NN VMFIN ADV ADV APPR NN VVINF ITJ $. $( PPER VVFIN ART NN APPRART NN KON ART NN APPRART NN $. ADV VAFIN $.	2/SB 0/-- 2/MO 7/OA 7/MO 5/NK 2/OC 5/MO 7/-- 9/-- 12/EP 2/CJ 14/NK 12/OA 14/MNR 15/NK 14/CD 19/NK 17/CJ 19/MNR 20/NK 21/-- 24/MO 0/-- 24/--	case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind _ _ _ case=acc|gender=masc|num=pl _ case=acc|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::SubjectiveFact=false|gender=masc|EmoExpression::markable_67::EmoExpression=True|pos=True|num=pl|EmoExpression::markable_67::Polarity=positive|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::Intensity=medium _ _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind _
327482408972734464	mixed	du hältst Casper für Gott aber ich bin peinlich ? Du scheinst ein besonderes Exemplar eines Arschgefickten zu sein .	du halten Casper für Gott aber ich sein peinlich ? du scheinen eine besonder Exemplar eine arschgefickt zu sein .	PPER VVFIN NE APPR NN ADV PPER VAFIN ADJD $. PPER VVFIN ART ADJA NN ART ADJA PTKZU VAINF $.	2/SB 0/-- 2/OA 2/MO 4/NK 2/MO 8/SB 2/CJ 8/PD 9/-- 12/SB 0/-- 15/NK 15/NK 19/PD 17/NK 15/AG 19/PM 12/OC 19/--	case=nom|Target::markable_100500243::Target=True|*=True|Sentiment::markable_100500242::Polarity=positive|pers=2|Sentiment::markable_100500242::Sarcasm=false|num=sg|Target::markable_100500243::Preferred=true|Sentiment::markable_100500242::Sentiment=True|Sentiment::markable_100500242::Intensity=medium|Target::markable_100500243::Anaphref=empty pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500242::Sentiment=True case=nom|num=sg|Target::markable_100500244::Target=True|Sentiment::markable_100500242::Sentiment=True|Target::markable_100500244::Preferred=true|*=True|Target::markable_100500244::Anaphref=empty Sentiment::markable_100500242::Sentiment=True case=acc|EmoExpression::markable_100500245::Uncertain=false|gender=masc|EmoExpression::markable_100500245::Intensity=medium|EmoExpression::markable_100500245::Sarcasm=false|EmoExpression::markable_100500245::SubjectiveFact=false|num=sg|Sentiment::markable_100500242::Sentiment=True|EmoExpression::markable_100500245::Polarity=positive|EmoExpression::markable_100500245::EmoExpression=True _ case=nom|Target::markable_69::Target=True|Target::markable_69::Preferred=true|*=True|Target::markable_69::Anaphref=empty|pers=1|Sentiment::markable_68::Sentiment=True|num=sg|Sentiment::markable_68::Intensity=medium|Sentiment::markable_68::Sarcasm=false|Sentiment::markable_68::Polarity=negative pers=1|Sentiment::markable_68::Sentiment=True|num=sg|tense=pres|mood=ind EmoExpression::markable_70::Intensity=medium|EmoExpression::markable_70::EmoExpression=True|pos=True|EmoExpression::markable_70::Polarity=negative|EmoExpression::markable_70::Sarcasm=false|EmoExpression::markable_70::SubjectiveFact=false|Sentiment::markable_68::Sentiment=True|EmoExpression::markable_70::Uncertain=false _ case=nom|Target::markable_72::Anaphref=empty|Sentiment::markable_71::Polarity=negative|Target::markable_72::Preferred=true|Sentiment::markable_71::Sarcasm=false|*=True|pers=2|num=sg|Sentiment::markable_71::Intensity=strong|Target::markable_72::Target=True|Sentiment::markable_71::Sentiment=True pers=2|num=sg|tense=pres|mood=ind|Sentiment::markable_71::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_71::Sentiment=True case=acc|gender=neut|num=sg|pos=True|Sentiment::markable_71::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_71::Sentiment=True case=gen|gender=masc|num=sg|Sentiment::markable_71::Sentiment=True case=gen|EmoExpression::markable_100500250::Sarcasm=false|EmoExpression::markable_100500250::Polarity=negative|gender=masc|EmoExpression::markable_100500250::Uncertain=false|pos=True|EmoExpression::markable_100500250::Intensity=strong|num=sg|EmoExpression::markable_100500250::EmoExpression=True|Sentiment::markable_71::Sentiment=True|EmoExpression::markable_100500250::SubjectiveFact=false Sentiment::markable_71::Sentiment=True Sentiment::markable_71::Sentiment=True _
327522844688924672	negative	" Gestern habe ich meiner Frau mal so richtig die Meinung gesagt . " - " Und was hast du erreicht ? " - " Mit Mühe und Not die Hau ...	" Gestern haben ich mein Frau mal so richtig die Meinung sagen . " - " und was haben du erreichen ? " - " mit Mühe und Not die Hau ...	$( NN VAFIN PPER PPOSAT NN ADV ADV ADJD ART NN VVPP $. $( $( $( KON PWS VAFIN PPER VVPP $. $( $( $( APPR NN KON NN ART NN $.	2/-- 12/MO 0/-- 3/SB 6/NK 12/DA 12/MO 9/MO 12/MO 11/NK 12/OA 3/OC 12/-- 13/-- 17/-- 15/-- 19/JU 19/SB 0/-- 21/OA 19/OC 21/-- 22/-- 26/-- 24/-- 31/MO 26/NK 27/CD 28/CJ 31/NK 0/-- 31/--	_ case=dat|gender=neut|num=pl pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg _ _ pos=True case=nom|EmoExpression::markable_104010999::Sarcasm=false|EmoExpression::markable_104010999::Polarity=negative|gender=fem|EmoExpression::markable_104010999::Uncertain=true|EmoExpression::markable_104010999::Intensity=medium|num=sg|EmoExpression::markable_104010999::EmoExpression=True|EmoExpression::markable_104010999::SubjectiveFact=false case=nom|gender=fem|num=sg|EmoExpression::markable_104010999::EmoExpression=True EmoExpression::markable_104010999::EmoExpression=True _ _ _ _ _ case=nom|gender=neut|num=sg pers=2|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 _ _ _ _ _ EmoExpression::markable_100500251::SubjectiveFact=false|EmoExpression::markable_100500251::Polarity=negative|EmoExpression::markable_100500251::Sarcasm=false|EmoExpression::markable_100500251::Uncertain=false|EmoExpression::markable_100500251::EmoExpression=True|EmoExpression::markable_100500251::Intensity=medium case=dat|gender=fem|EmoExpression::markable_100500251::EmoExpression=True|num=sg EmoExpression::markable_100500251::EmoExpression=True case=dat|gender=fem|EmoExpression::markable_100500251::EmoExpression=True|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _
323736821215395840	positive	Unser täglich Gift einfach nur " Monsanto mit Gift &amp; Genen was uns die Lebensmittelindustrie tagtäglich auftischt	unser täglich Gift einfach nur " Monsanto mit Gift &amp; Gen was wir die Lebensmittelindustrie tagtäglich auftischen	PPOSAT ADJD NN ADJD ADV $( NN APPR NN $( NN PRELS PRF ART NN ADJD VVFIN	3/NK 3/NK 4/OA 17/MO 7/MO 5/-- 17/OA 7/MNR 8/NK 9/-- 9/CJ 16/OA 16/DA 15/NK 16/OA 17/MO 0/--	case=nom|gender=masc|num=sg pos=True case=acc|EmoExpression::markable_100500252::Uncertain=false|gender=fem|EmoExpression::markable_100500252::Intensity=medium|EmoExpression::markable_100500252::Sarcasm=false|EmoExpression::markable_100500252::SubjectiveFact=false|num=sg|EmoExpression::markable_100500252::Polarity=negative|EmoExpression::markable_100500252::EmoExpression=True _ _ _ case=nom|gender=neut|num=sg _ case=dat|EmoExpression::markable_100500253::Polarity=negative|gender=fem|EmoExpression::markable_100500253::Uncertain=false|num=sg|EmoExpression::markable_100500253::Intensity=medium|EmoExpression::markable_100500253::SubjectiveFact=false|EmoExpression::markable_100500253::EmoExpression=True|EmoExpression::markable_100500253::Sarcasm=false _ case=dat|Sentiment::markable_100500254::Sentiment=True|num=pl|Sentiment::markable_100500254::Sarcasm=false|*=True|Sentiment::markable_100500254::Polarity=positive|Sentiment::markable_100500254::Intensity=medium case=nom|gender=neut|num=sg|Sentiment::markable_100500254::Sentiment=True case=dat|pers=1|num=pl|Sentiment::markable_100500254::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_100500254::Sentiment=True case=acc|Sentiment::markable_100500254::Sentiment=True|num=sg|Target::markable_100500255::Anaphref=empty|gender=fem|Target::markable_100500255::Preferred=true|Target::markable_100500255::Target=True Sentiment::markable_100500254::Sentiment=True|pos=True EmoExpression::markable_100500257::Intensity=medium|EmoExpression::markable_100500257::SubjectiveFact=false|EmoExpression::markable_100500257::Polarity=negative|mood=ind|Sentiment::markable_100500254::Sentiment=True|EmoExpression::markable_100500257::Sarcasm=false|pers=3|num=sg|tense=pres|EmoExpression::markable_100500257::EmoExpression=True|EmoExpression::markable_100500257::Uncertain=false
323714214856380416	neutral	" Wegen der geänderten Wagenreihung habe ich die zuständigen Stellen informiert . Derjenige wird zur Verantwortung gezogen ...	" wegen die geändert Wagenreihung haben ich die zuständig Stelle|Stellen informieren . diejenige werden zu Verantwortung ziehen ...	$( APPR ART ADJA NN VAFIN PPER ART ADJA NN VVPP $. PDS VAFIN APPRART NN VVPP $.	2/-- 11/MO 5/NK 5/NK 2/NK 0/-- 6/SB 10/NK 10/NK 11/OA 6/OC 11/-- 14/SB 0/-- 17/MO 15/NK 14/OC 17/--	_ _ gender=fem|*=True|num=sg gender=fem|*=True|num=sg|pos=True gender=fem|*=True|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=acc|gender=fem|num=pl case=nom|gender=fem|num=pl|pos=True case=nom|gender=fem|num=pl _ _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _
327454434193969154	negative	Wird halt alles auf Geschäftliche Kanäle ausgelegt . Traurig aber wahr	werden halt alle auf geschäftlich Kanal auslegen . traurig aber wahr	VAFIN ADV PIS APPR ADJA NN VVPP $. ADJD KON ADJD	0/-- 7/MO 1/SB 7/MO 6/NK 4/NK 1/OC 7/-- 0/-- 9/CD 10/CJ	Sentiment::markable_74::Intensity=medium|Target::markable_75::Target=True|Sentiment::markable_74::Sentiment=True|Sentiment::markable_74::Sarcasm=false|Target::markable_75::Preferred=true|Target::markable_75::Anaphref=empty|Sentiment::markable_74::Polarity=negative Target::markable_75::Target=True|Sentiment::markable_74::Sentiment=True case=nom|gender=neut|Target::markable_75::Target=True|num=sg|Sentiment::markable_74::Sentiment=True Target::markable_75::Target=True|Sentiment::markable_74::Sentiment=True case=acc|num=pl|Sentiment::markable_74::Sentiment=True|Target::markable_75::Target=True|gender=neut|pos=True case=acc|gender=neut|Target::markable_75::Target=True|num=pl|Sentiment::markable_74::Sentiment=True Target::markable_75::Target=True|Sentiment::markable_74::Sentiment=True Sentiment::markable_74::Sentiment=True EmoExpression::markable_76::Intensity=medium|EmoExpression::markable_76::EmoExpression=True|EmoExpression::markable_76::SubjectiveFact=false|EmoExpression::markable_76::Uncertain=false|pos=True|Sentiment::markable_74::Sentiment=True|EmoExpression::markable_76::Polarity=negative|EmoExpression::markable_76::Sarcasm=false Sentiment::markable_74::Sentiment=True EmoExpression::markable_100500256::Uncertain=false|EmoExpression::markable_100500256::Polarity=positive|EmoExpression::markable_100500256::Sarcasm=false|pos=True|Sentiment::markable_74::Sentiment=True|EmoExpression::markable_100500256::Intensity=medium|EmoExpression::markable_100500256::SubjectiveFact=false|EmoExpression::markable_100500256::EmoExpression=True
327397810070765568	neutral	Die Feier - und Brückentage im Mai bieten sich für einen Kurzurlaub in München im StayMunich und Stay2Munich an	die Feier - und Brückentag in Mai bieten sich für eine Kurzurlaub in München in StayMunich und Stay2Munich an	ART NN $( KON NN APPRART NN VVFIN PRF APPR ART NN APPR NE APPRART NN KON NN APPR	2/NK 8/SB 2/-- 2/CD 4/CJ 5/MNR 6/NK 0/-- 8/OA 8/MO 12/NK 10/NK 12/MNR 13/NK 14/MNR 15/NK 16/CD 17/CJ 8/SVP	case=nom|*=True|num=pl case=nom|*=True|num=pl _ _ case=acc|gender=masc|num=pl case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|pers=3|num=pl _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=sg _
327474859191980033	positive	finde dich echt total hübsch %PosSmiley .. Habt ihr irgendwie ein Videoschnitt - dingsda Programm um 75% der lacher rauszuschneiden ?	finden du echt total hübsch %PosSmiley .. haben ihr irgendwie eine Videoschnitt - dingsda Programm um @card@ die Lacher rauszuschneiden ?	VVFIN PPER ADJD ADJD ADJD ITJ NN VAFIN PPER ADV ART NN $( NE NN APPR CARD ART NN VVIZU $.	0/-- 1/SB 1/MO 5/MO 1/MO 7/NK 1/OA 0/-- 10/DA 12/MO 12/NK 8/SB 12/-- 15/AG 12/APP 20/MO 16/NK 19/NK 17/AG 15/OC 20/--	Sentiment::markable_77::Sentiment=True|mood=subj|Sentiment::markable_77::Sarcasm=false|Sentiment::markable_77::Polarity=positive|pers=3|num=sg|tense=pres|Sentiment::markable_77::Intensity=strong case=acc|Sentiment::markable_77::Sentiment=True|Target::markable_78::Target=True|*=True|pers=2|num=sg|Target::markable_78::Preferred=true|Target::markable_78::Anaphref=markable_100500263 Sentiment::markable_77::Sentiment=True|Intensifier::markable_81::EmoExpressionRef=emo-expression:markable_79|Intensifier::markable_81::Intensifier=True|pos=True|Intensifier::markable_81::Degree=strong Intensifier::markable_80::Degree=strong|Sentiment::markable_77::Sentiment=True|Intensifier::markable_80::EmoExpressionRef=emo-expression:markable_79|Intensifier::markable_80::Intensifier=True|pos=True Sentiment::markable_77::Sentiment=True|EmoExpression::markable_79::Polarity=positive|EmoExpression::markable_79::Uncertain=false|EmoExpression::markable_79::Intensity=medium|EmoExpression::markable_79::Sarcasm=false|pos=True|EmoExpression::markable_79::SubjectiveFact=false|EmoExpression::markable_79::EmoExpression=True Sentiment::markable_77::Sentiment=True|EmoExpression::markable_82::Uncertain=false|EmoExpression::markable_82::EmoExpression=True|EmoExpression::markable_82::Intensity=medium|EmoExpression::markable_82::Sarcasm=false|EmoExpression::markable_82::SubjectiveFact=false|EmoExpression::markable_82::Polarity=positive Sentiment::markable_77::Sentiment=True|pos=True pers=3|num=sg|tense=pres|mood=ind case=dat|gender=fem|num=sg|pers=3 _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ case=gen|gender=neut|num=pl case=gen|EmoExpression::markable_100500264::Sarcasm=false|EmoExpression::markable_100500264::Uncertain=false|EmoExpression::markable_100500264::Intensity=medium|gender=neut|EmoExpression::markable_100500264::SubjectiveFact=false|num=pl|EmoExpression::markable_100500264::Polarity=positive|EmoExpression::markable_100500264::EmoExpression=True _ _
327235880412643330	positive	guten morgen freunde und freundinen %PosSmiley	gut morgen freunden und freundinen %PosSmiley	ADJA ADV VVFIN KON NN ITJ	3/NK 1/MNR 0/-- 3/CD 4/CJ 3/DM	case=acc|EmoExpression::markable_100500258::EmoExpression=True|EmoExpression::markable_100500258::Uncertain=false|gender=fem|EmoExpression::markable_100500258::Sarcasm=false|pos=True|EmoExpression::markable_100500258::Polarity=positive|num=pl|EmoExpression::markable_100500258::Intensity=medium|EmoExpression::markable_100500258::SubjectiveFact=false _ case=acc|gender=fem|num=pl|pos=True _ case=acc|gender=fem|num=pl case=acc|EmoExpression::markable_83::EmoExpression=True|gender=fem|EmoExpression::markable_83::Intensity=medium|num=pl|EmoExpression::markable_83::SubjectiveFact=false|EmoExpression::markable_83::Uncertain=false|EmoExpression::markable_83::Polarity=positive|EmoExpression::markable_83::Sarcasm=false
323790419899064321	neutral	Wels braucht Veranstaltungsmanagement und darf nicht von der Entscheidung eines Stadtsenatsmitglied abhängig sein grwels wels	Wels brauchen Veranstaltungsmanagement und dürfen nicht von die Entscheidung eine Stadtsenatsmitglied abhängig sein grwels wels	NN VVFIN NN KON VMFIN PTKNEG APPR ART NN ART NN ADJD PPOSAT NN NN	2/SB 0/-- 2/OA 3/CD 4/CJ 5/NG 12/OP 9/NK 7/NK 11/NK 9/AG 2/MO 14/NK 2/OA 14/NK	case=gen|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind pos=True _ pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=gen|gender=masc|num=sg case=nom|gender=neut|num=sg pos=True case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg *=True
328111957389496321	positive	ok %PosSmiley Haha ich da nur es ende gesehen %PosSmiley	ok %PosSmiley Haha ich da nur es enden sehen %PosSmiley	ADJA ITJ VVFIN PPER ADV ADV PPER VVFIN VVPP ITJ	3/MO 1/NK 0/-- 3/SB 3/MO 7/MO 8/SB 3/OC 8/MO 8/DM	_ EmoExpression::markable_84::Sarcasm=false|EmoExpression::markable_84::EmoExpression=True|EmoExpression::markable_84::Uncertain=false|EmoExpression::markable_84::Intensity=medium|EmoExpression::markable_84::SubjectiveFact=false|EmoExpression::markable_84::Polarity=positive pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=subj _ EmoExpression::markable_85::EmoExpression=True|EmoExpression::markable_85::Uncertain=false|EmoExpression::markable_85::Intensity=medium|EmoExpression::markable_85::SubjectiveFact=false|EmoExpression::markable_85::Polarity=positive|EmoExpression::markable_85::Sarcasm=false
327359508743602176	neutral	Schnell zum Geld sogar ohne Schufa - Alle Infos gratis auf	schnell zu Geld sogar ohne Schufa - alle Info gratis auf	ADJD APPRART NN ADV APPR NN $( PIAT NN ADJD APPR	0/MO 1/MO 2/NK 5/MO 9/MO 5/NK 6/-- 9/NK 0/-- 11/MO 9/PD	pos=True case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ case=acc|gender=fem|num=sg _ case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl pos=True _
323900605343096832	neutral	könnt ihr nicht bitte kurz still sein und darüber nachdenken wes in Boston passiert ist ? PrayForBoston	können ihr nicht bitte kurz still sein und darüber nachdenken wes in Boston passieren sein ? PrayForBoston	VMFIN PPER PTKNEG ADV ADJD ADJD VAINF KON PAV VVFIN NE APPR NE VVPP VAFIN $. NE	0/-- 1/SB 1/NG 1/MO 6/MO 7/PD 1/OC 1/CD 11/NK 11/NK 15/SB 14/MO 12/NK 15/PD 8/CJ 15/-- 0/--	pers=3|num=sg|tense=pres|mood=ind case=dat|gender=fem|num=sg|pers=3 _ _ pos=True pos=True _ _ _ pers=3|num=pl|tense=pres|mood=ind case=gen|gender=neut|num=sg _ case=dat|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg
328103227004420098	positive	Jennifer hat erfolgreich einen C1 Code eingegeben !	Jennifer haben erfolgreich eine C1 Code eingeben !	NE VAFIN ADJD ART CARD NN VVPP $.	2/SB 0/-- 7/MO 6/NK 6/NK 7/OA 2/OC 7/--	case=nom|Sentiment::markable_100500259::Intensity=medium|Target::markable_100500261::Target=True|*=True|Sentiment::markable_100500259::Sarcasm=false|Sentiment::markable_100500259::Polarity=positive|num=sg|Target::markable_100500261::Anaphref=empty|Sentiment::markable_100500259::Sentiment=True|Target::markable_100500261::Preferred=true pers=3|num=sg|tense=pres|mood=ind|Target::markable_100500261::Target=True|Sentiment::markable_100500259::Sentiment=True EmoExpression::markable_100500260::Uncertain=false|EmoExpression::markable_100500260::Intensity=medium|EmoExpression::markable_100500260::Sarcasm=false|EmoExpression::markable_100500260::Polarity=positive|pos=True|EmoExpression::markable_100500260::EmoExpression=True|EmoExpression::markable_100500260::SubjectiveFact=false|Sentiment::markable_100500259::Sentiment=True case=acc|Target::markable_100500262::Anaphref=empty|num=sg|Target::markable_100500262::Preferred=true|Target::markable_100500262::Target=True|gender=masc|Sentiment::markable_100500259::Sentiment=True Target::markable_100500262::Target=True|Sentiment::markable_100500259::Sentiment=True case=acc|gender=masc|Target::markable_100500262::Target=True|num=pl|Sentiment::markable_100500259::Sentiment=True Target::markable_100500262::Target=True|Sentiment::markable_100500259::Sentiment=True Sentiment::markable_100500259::Sentiment=True
