381764388614836224	positive	das hoffe ich. dafür haben wir alle ein halbes jahr wahlkampf gemacht %PosSmiley	die hoffen ich. dafür haben wir alle eine halb Jahr wahlkampf machen %PosSmiley	PDS VVFIN ADJD PAV VAFIN PPER PIS ART ADJA NN ADJD VVPP ITJ	2/SB 5/MO 2/MO 2/NK 0/-- 5/SB 6/NK 10/NK 10/NK 12/OA 12/MO 5/OC 12/NK	case=nom|Target::markable_4::Preferred=true|Target::markable_4::Anaphref=empty|gender=neut|Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=sg|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium mood=subj|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::Sarcasm=false|Sentiment::markable_1::Sentiment=True|pers=3|EmoExpression::markable_3::Intensity=medium|num=sg|tense=pres|EmoExpression::markable_3::Uncertain=false|EmoExpression::markable_3::EmoExpression=True Source::markable_2::Source=True|Source::markable_2::Anaphref=empty|pos=True|Sentiment::markable_1::Sentiment=True _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=nom|*=True|num=pl case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg pos=True _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
375203847670870016	mixed	Achtung , Satire : Der National - O - Mat als " rechte " Entscheidungshilfe für die Bundestagswahl %PosSmiley . %Link / et	Achtung , Satire : die National - O - Mat als " recht|rechts " Entscheidungshilfe für die Bundestagswahl %PosSmiley . %Link / et	NN $, NN $. ART FM $( NN $( VVFIN KOKOM $( ADJA $( NN APPR ART NN ITJ $. XY $( FM	10/SB 1/-- 1/CJ 3/-- 6/NK 1/PAR 6/-- 6/APP 8/-- 19/NK 10/MO 11/-- 15/NK 13/-- 11/NK 15/MNR 18/NK 16/NK 21/NK 21/-- 0/-- 23/-- 0/--	case=nom|gender=fem|num=sg|Sentiment::markable_100::Sentiment=True Sentiment::markable_100::Sentiment=True case=nom|EmoExpression::markable_99::Sarcasm=false|EmoExpression::markable_99::SubjectiveFact=false|gender=fem|Sentiment::markable_100::Sentiment=True|EmoExpression::markable_99::Intensity=medium|num=sg|EmoExpression::markable_99::Polarity=negative|EmoExpression::markable_99::EmoExpression=True|EmoExpression::markable_99::Uncertain=false Sentiment::markable_100::Sentiment=True case=nom|Target::markable_101::Anaphref=empty|num=sg|Target::markable_101::Preferred=true|gender=masc|Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True *=True|Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True *=True|Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True case=nom|num=pl|gender=masc|pos=True|Target::markable_101::Target=True|Sentiment::markable_100::Sentiment=True Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True case=nom|gender=fem|num=sg|Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True case=acc|gender=fem|num=sg|Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True case=acc|gender=fem|num=sg|Sentiment::markable_100::Sentiment=True|Target::markable_101::Target=True EmoExpression::markable_98::Uncertain=false|EmoExpression::markable_98::EmoExpression=True|EmoExpression::markable_98::Polarity=positive|EmoExpression::markable_98::Sarcasm=false|EmoExpression::markable_98::Intensity=medium|Sentiment::markable_100::Sentiment=True|EmoExpression::markable_98::SubjectiveFact=false _ _ _ _
359372418374053891	positive	mein bester , wir müssen die tage noch mal zusammensitzen / telefonieren wegen wahlkampf . %PosSmiley es ist wirklich nötig ...	mein gut , wir müssen die tagen noch mal zusammensitzen / telefonieren wegen Wahlkampf . %PosSmiley es sein wirklich nötig ...	PPOSAT ADJA $, PPER VMFIN ART VVFIN ADV ADV VVINF $( VVFIN APPR NN $. ITJ PPER VAFIN ADJD ADJD $.	2/NK 5/MO 2/-- 5/SB 0/-- 7/NK 12/PAR 7/MO 5/MO 5/OC 10/-- 5/CJ 12/MO 13/NK 14/-- 18/NK 18/SB 0/-- 20/MO 18/PD 20/--	case=nom|gender=masc|num=sg|Sentiment::markable_103::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_103::Sentiment=True|sup=True Sentiment::markable_103::Sentiment=True case=nom|*=True|pers=1|num=pl|Target::markable_107::Target=True|Target::markable_107::Preferred=true|Target::markable_107::Anaphref=empty|Sentiment::markable_103::Sentiment=True pers=1|num=pl|tense=pres|mood=ind|Target::markable_107::Target=True|Sentiment::markable_103::Sentiment=True case=acc|gender=fem|num=sg|Target::markable_107::Target=True|Sentiment::markable_103::Sentiment=True case=acc|gender=fem|num=sg|Target::markable_107::Target=True|Sentiment::markable_103::Sentiment=True Sentiment::markable_103::Sentiment=True|Target::markable_107::Target=True Sentiment::markable_103::Sentiment=True|Target::markable_107::Target=True Sentiment::markable_103::Sentiment=True|Target::markable_107::Target=True Sentiment::markable_103::Sentiment=True Sentiment::markable_103::Sentiment=True|Target::markable_108::Anaphref=empty|Target::markable_108::Preferred=true|Target::markable_108::Target=True Target::markable_108::Target=True|Sentiment::markable_103::Sentiment=True case=acc|gender=masc|num=sg|Target::markable_108::Target=True|Sentiment::markable_103::Sentiment=True Sentiment::markable_103::Sentiment=True EmoExpression::markable_102::SubjectiveFact=false|EmoExpression::markable_102::Intensity=medium|EmoExpression::markable_102::EmoExpression=True|EmoExpression::markable_102::Sarcasm=false|Sentiment::markable_103::Sentiment=True|EmoExpression::markable_102::Uncertain=false|EmoExpression::markable_102::Polarity=positive case=nom|Target::markable_104::Preferred=true|gender=neut|Target::markable_104::Target=True|pers=3|num=sg|Target::markable_104::Anaphref=markable_107|Sentiment::markable_103::Sentiment=True pers=3|Sentiment::markable_103::Sentiment=True|num=sg|tense=pres|mood=ind Intensifier::markable_106::Degree=medium|Intensifier::markable_106::Intensifier=True|Sentiment::markable_103::Sentiment=True|pos=True|Intensifier::markable_106::EmoExpressionRef=emo-expression:markable_105 EmoExpression::markable_105::Uncertain=false|EmoExpression::markable_105::Polarity=positive|pos=True|EmoExpression::markable_105::EmoExpression=True|EmoExpression::markable_105::Sarcasm=false|EmoExpression::markable_105::SubjectiveFact=false|Sentiment::markable_103::Sentiment=True|EmoExpression::markable_105::Intensity=medium _
362624402837364736	mixed	Und Wiederwahl Fehlversuche bei der Fritzbox meiner Eltern . Nach Gewitter DSL Eingang keine Finktion . Tips ? ! %PosSmiley %Link	und Wiederwahl Fehlversuch bei die Fritzbox mein Eltern . nach Gewitter DSL Eingang keine Finktion . Tip ? ! %PosSmiley %Link	KON NN NN APPR ART NN PPOSAT NN $. APPR NN NN NN PIAT NN $. NN $. $. ITJ XY	2/JU 0/-- 2/SB 2/MO 6/NK 4/NK 8/NK 6/AG 8/-- 12/MO 10/NK 9/-- 12/NK 15/NK 0/CJ 15/-- 0/-- 17/-- 18/-- 18/NK 0/--	_ case=nom|*=True|num=pl case=nom|EmoExpression::markable_10409979::Intensity=medium|EmoExpression::markable_10409979::Uncertain=false|EmoExpression::markable_10409979::SubjectiveFact=false|*=True|EmoExpression::markable_10409979::EmoExpression=True|num=pl|EmoExpression::markable_10409979::Sarcasm=false|EmoExpression::markable_10409979::Polarity=negative _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=gen|*=True|num=pl case=gen|*=True|num=pl _ _ case=dat|gender=fem|num=sg case=nom|gender=fem|num=sg case=acc|gender=masc|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=pl _ _ EmoExpression::markable_109::SubjectiveFact=false|EmoExpression::markable_109::Polarity=positive|EmoExpression::markable_109::Sarcasm=false|EmoExpression::markable_109::Uncertain=false|EmoExpression::markable_109::EmoExpression=True|EmoExpression::markable_109::Intensity=medium _
359692759227039745	positive	Eine neue Haltung erfordert Rügrad ! Etwas , dass ich bei den Grünen seid LANGEM vermisse ! %NegSmiley / / @EinAugenschmaus	eine neu Haltung erfordern Rügrad ! etwas , dass ich bei die Grüne sein lang vermissen ! %NegSmiley / / @EinAugenschmaus	ART ADJA NN VVFIN NN $. ADV $, KOUS PPER APPR ART NN VAFIN ADJA VVFIN $. ITJ $( $( NN	3/NK 3/NK 4/SB 0/-- 4/OA 5/-- 16/MO 7/-- 16/CP 16/SB 16/MO 13/NK 11/NK 16/MO 14/MO 0/-- 16/-- 16/DM 21/-- 19/-- 0/--	case=nom|num=sg|Sentiment::markable_110::Intensity=medium|Sentiment::markable_110::Sarcasm=false|gender=fem|Sentiment::markable_110::Polarity=positive|Sentiment::markable_110::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_110::Sentiment=True|pos=True case=nom|gender=fem|num=sg|Sentiment::markable_110::Sentiment=True pers=3|Sentiment::markable_110::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|EmoExpression::markable_10409980::Intensity=medium|Target::markable_113::Anaphref=empty|Target::markable_113::Preferred=true|EmoExpression::markable_10409980::SubjectiveFact=false|gender=masc|EmoExpression::markable_10409980::Uncertain=false|EmoExpression::markable_10409980::EmoExpression=True|num=sg|EmoExpression::markable_10409980::Sarcasm=false|Sentiment::markable_110::Sentiment=True|Target::markable_113::Target=True|EmoExpression::markable_10409980::Polarity=positive Sentiment::markable_110::Sentiment=True Sentiment::markable_110::Sentiment=True Sentiment::markable_110::Sentiment=True Sentiment::markable_110::Sentiment=True case=nom|pers=1|num=sg|Source::markable_111::Source=True|Source::markable_111::Anaphref=empty|*=True|Sentiment::markable_110::Sentiment=True Sentiment::markable_110::Sentiment=True case=dat|*=True|num=pl|Sentiment::markable_110::Sentiment=True case=dat|*=True|num=pl|Sentiment::markable_110::Sentiment=True pers=2|Sentiment::markable_110::Sentiment=True|num=pl|tense=pres|mood=ind case=nom|gender=neut|num=pl|Sentiment::markable_110::Sentiment=True|pos=True EmoExpression::markable_112::Uncertain=false|EmoExpression::markable_112::EmoExpression=True|mood=subj|EmoExpression::markable_112::Intensity=medium|EmoExpression::markable_112::Polarity=positive|EmoExpression::markable_112::Sarcasm=false|pers=3|num=sg|tense=pres|Sentiment::markable_110::Sentiment=True|EmoExpression::markable_112::SubjectiveFact=false Sentiment::markable_110::Sentiment=True EmoExpression::markable_114::EmoExpression=True|EmoExpression::markable_114::Intensity=medium|EmoExpression::markable_114::Uncertain=false|EmoExpression::markable_114::Sarcasm=false|EmoExpression::markable_114::SubjectiveFact=false|EmoExpression::markable_114::Polarity=negative|Sentiment::markable_110::Sentiment=True _ _ _
380783489676623873	positive	Es gibt auch prognosen , die piraten + bei 5% sehen - zb erststimme in meinem wahlkreis %PosSmiley oberhavel	Es geben auch Prognose , die Pirat + bei @card@ sehen - zb Erststimme in mein wahlkreis %PosSmiley oberhavel	NN VVFIN ADV NN $, ART NN KON APPR CARD VVINF $( ADJA NN APPR PPOSAT ADJA ITJ ADJA	2/SB 0/-- 4/MO 2/OA 4/-- 11/SB 11/OA 7/MO 8/CJ 9/NK 4/RC 11/-- 14/NK 2/OA 2/MO 19/NK 19/NK 19/NK 15/NK	case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=fem|num=pl pers=1|num=pl|tense=past|mood=ind _ _ _ _ _ case=acc|gender=masc|num=pl|pos=True case=acc|gender=masc|num=pl _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg EmoExpression::markable_115::Uncertain=false|EmoExpression::markable_115::EmoExpression=True|EmoExpression::markable_115::SubjectiveFact=false|EmoExpression::markable_115::Intensity=medium|EmoExpression::markable_115::Polarity=positive|EmoExpression::markable_115::Sarcasm=false *=True|pos=True
381616922544308225	positive	In ein paar Stunden sind die Wahlen ... Wählt das richtige ! %PosSmiley	in eine paar Stunde|Stunden sein die Wahl ... wählen die richtig ! %PosSmiley	APPR ART PIAT NN VAFIN ART NN $. VVFIN ART ADJA $. ITJ	5/MO 3/NK 4/NK 1/NK 0/-- 7/NK 5/SB 7/-- 0/-- 11/NK 9/SB 11/-- 11/NK	_ *=True *=True case=acc|gender=fem|num=pl pers=3|num=pl|tense=pres|mood=ind case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_116::Uncertain=false|EmoExpression::markable_116::Polarity=positive|gender=neut|pos=True|EmoExpression::markable_116::SubjectiveFact=false|EmoExpression::markable_116::Sarcasm=false|num=sg|EmoExpression::markable_116::EmoExpression=True|EmoExpression::markable_116::Intensity=medium _ EmoExpression::markable_117::Intensity=medium|EmoExpression::markable_117::EmoExpression=True|EmoExpression::markable_117::Polarity=positive|EmoExpression::markable_117::SubjectiveFact=false|EmoExpression::markable_117::Sarcasm=false|EmoExpression::markable_117::Uncertain=false
376757618653425664	negative	Piraten wirken gegen Überwachung ' ' swahn der Polizei bei FSA13 Gegen Kamerawagen kann man was tun ! %PosSmiley htt ...	Pirat wirken gegen Überwachung ' ' swahn die Polizei bei FSA13 gegen Kamerawagen können man was tun ! %PosSmiley htt ...	NN VVFIN APPR NN $( $( NN ART NN APPR CARD APPR NN VMFIN PIS PWS VVINF $. ITJ NN $.	2/SB 0/-- 2/MO 3/NK 4/-- 5/-- 2/OA 9/NK 7/AG 7/MNR 10/NK 7/MNR 12/NK 2/CJ 14/SB 17/OA 14/OC 17/-- 14/DM 0/-- 20/--	case=nom|gender=masc|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=acc|Sentiment::markable_118::Polarity=negative|Sentiment::markable_118::Sentiment=True|gender=fem|Sentiment::markable_118::Intensity=medium|Sentiment::markable_118::Sarcasm=false|Source::markable_119::Anaphref=empty|num=sg|Source::markable_119::Source=True EmoExpression::markable_120::Sarcasm=false|EmoExpression::markable_120::Polarity=negative|Sentiment::markable_118::Sentiment=True|EmoExpression::markable_120::Uncertain=false|EmoExpression::markable_120::EmoExpression=True|EmoExpression::markable_120::SubjectiveFact=false|EmoExpression::markable_120::Intensity=medium EmoExpression::markable_120::EmoExpression=True|Sentiment::markable_118::Sentiment=True case=acc|EmoExpression::markable_122::Polarity=negative|EmoExpression::markable_122::SubjectiveFact=false|Sentiment::markable_118::Sentiment=True|EmoExpression::markable_122::Sarcasm=false|gender=fem|EmoExpression::markable_122::Uncertain=false|EmoExpression::markable_122::EmoExpression=True|num=sg|Target::markable_121::Target=True|Target::markable_121::Preferred=true|EmoExpression::markable_122::Intensity=medium|Target::markable_121::Anaphref=empty case=gen|gender=fem|num=sg|Target::markable_121::Target=True|Sentiment::markable_118::Sentiment=True case=gen|gender=fem|num=sg|Target::markable_121::Target=True|Sentiment::markable_118::Sentiment=True _ _ Sentiment::markable_123::Intensity=medium|EmoExpression::markable_124::Uncertain=false|EmoExpression::markable_124::SubjectiveFact=false|EmoExpression::markable_124::EmoExpression=True|EmoExpression::markable_124::Sarcasm=false|Sentiment::markable_123::Polarity=negative|EmoExpression::markable_124::Polarity=negative|Sentiment::markable_123::Sentiment=True|EmoExpression::markable_124::Intensity=medium|Sentiment::markable_123::Sarcasm=false case=dat|num=pl|Target::markable_125::Anaphref=empty|Target::markable_125::Preferred=true|Target::markable_125::Target=True|gender=masc|Sentiment::markable_123::Sentiment=True pers=3|Sentiment::markable_123::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|*=True|Sentiment::markable_123::Sentiment=True|num=sg case=acc|gender=neut|Sentiment::markable_123::Sentiment=True|num=sg Sentiment::markable_123::Sentiment=True Sentiment::markable_123::Sentiment=True _ EmoExpression::markable_126::Sarcasm=false|EmoExpression::markable_126::Uncertain=false|EmoExpression::markable_126::Polarity=positive|Sentiment::markable_123::Sentiment=True|EmoExpression::markable_126::SubjectiveFact=false|EmoExpression::markable_126::EmoExpression=True|EmoExpression::markable_126::Intensity=medium _
373772666412740608	positive	" Veranstaltungen der Piratenpartei , auf denen im gefühlten Fünf - Sekunden - Takt Fotos geschossen und ins Netz gestellt werden , besser meiden . "	" Veranstaltung die Piratenpartei , auf die in gefühlt Fünf - Sekunde - Takt Foto schießen und in Netz stellen werden , gut meiden . "	$( NN ART NN $, APPR PRELS APPRART ADJA NN $( NN $( NN NN VVPP KON APPRART NN VVPP VAINF $, ADJD VVINF $. $(	2/-- 0/-- 4/NK 2/AG 4/-- 16/MO 6/NK 16/MO 10/NK 8/NK 10/-- 16/OA 12/-- 12/CJ 14/NK 21/OC 16/CD 20/MO 18/NK 17/CJ 2/OC 21/-- 24/MO 21/CJ 24/-- 25/--	_ case=nom|Sentiment::markable_127::Sarcasm=false|gender=fem|Sentiment::markable_127::Polarity=positive|Target::markable_128::Anaphref=empty|Target::markable_128::Preferred=true|num=pl|Sentiment::markable_127::Intensity=medium|Target::markable_128::Target=True|Sentiment::markable_127::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_127::Sentiment=True|Target::markable_128::Target=True case=gen|gender=fem|num=sg|Sentiment::markable_127::Sentiment=True|Target::markable_128::Target=True Target::markable_128::Target=True|Sentiment::markable_127::Sentiment=True Target::markable_128::Target=True|Sentiment::markable_127::Sentiment=True case=dat|gender=neut|num=pl|Sentiment::markable_127::Sentiment=True|Target::markable_128::Target=True case=dat|gender=masc|num=sg|Sentiment::markable_127::Sentiment=True|Target::markable_128::Target=True case=dat|num=sg|Target::markable_128::Target=True|gender=masc|pos=True|Sentiment::markable_127::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_127::Sentiment=True|Target::markable_128::Target=True Target::markable_128::Target=True|Sentiment::markable_127::Sentiment=True case=acc|gender=fem|num=pl|Sentiment::markable_127::Sentiment=True|Target::markable_128::Target=True Target::markable_128::Target=True|Sentiment::markable_127::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_127::Sentiment=True|Target::markable_128::Target=True case=acc|gender=masc|num=sg|Sentiment::markable_127::Sentiment=True|Target::markable_128::Target=True Target::markable_128::Target=True|Sentiment::markable_127::Sentiment=True Target::markable_128::Target=True|Sentiment::markable_127::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_127::Sentiment=True|Target::markable_128::Target=True case=acc|gender=neut|num=sg|Sentiment::markable_127::Sentiment=True|Target::markable_128::Target=True Target::markable_128::Target=True|Sentiment::markable_127::Sentiment=True Target::markable_128::Target=True|Sentiment::markable_127::Sentiment=True Sentiment::markable_127::Sentiment=True comp=True|Sentiment::markable_127::Sentiment=True EmoExpression::markable_129::Intensity=medium|mood=ind|EmoExpression::markable_129::Uncertain=false|EmoExpression::markable_129::Sarcasm=false|EmoExpression::markable_129::EmoExpression=True|EmoExpression::markable_129::Polarity=negative|pers=3|num=pl|tense=pres|EmoExpression::markable_129::SubjectiveFact=false|Sentiment::markable_127::Sentiment=True Sentiment::markable_127::Sentiment=True _
361072601482805249	mixed	Wer hat Angst vorm " Steuer " - Monster ? : Das Thema " Steuern " scheint im anlaufenden Wahlkampf ein wichtig ...	wer haben Angst vorm " Steuer " - Monster ? : die Thema " Steuer " scheinen in anlaufend Wahlkampf ein wichtig ...	PWS VAFIN NN APPRART $( NN $( $( NN $. $. ART NN $( NN $( VVFIN APPRART ADJA NN PTKVZ ADJD $.	2/SB 0/-- 2/OA 3/MNR 4/-- 4/NK 6/-- 7/-- 6/CJ 9/-- 12/-- 13/NK 17/SB 13/-- 13/NK 15/-- 0/-- 17/MO 20/NK 18/NK 17/SVP 17/MO 22/--	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|EmoExpression::markable_130::SubjectiveFact=false|EmoExpression::markable_130::Sarcasm=false|gender=fem|EmoExpression::markable_130::EmoExpression=True|EmoExpression::markable_130::Intensity=medium|num=sg|EmoExpression::markable_130::Polarity=negative|EmoExpression::markable_130::Uncertain=false case=acc|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ _ case=dat|EmoExpression::markable_131::Intensity=medium|gender=masc|EmoExpression::markable_131::EmoExpression=True|EmoExpression::markable_131::Sarcasm=false|num=sg|EmoExpression::markable_131::Polarity=negative|EmoExpression::markable_131::Uncertain=false|EmoExpression::markable_131::SubjectiveFact=false _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=nom|gender=fem|num=pl _ pers=3|num=sg|tense=pres|mood=ind case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ EmoExpression::markable_132::EmoExpression=True|EmoExpression::markable_132::Polarity=positive|EmoExpression::markable_132::Intensity=medium|EmoExpression::markable_132::Uncertain=false|EmoExpression::markable_132::Sarcasm=false|EmoExpression::markable_132::SubjectiveFact=false|pos=True _
372114197137858560	negative	Piraten , die ehrenamtlichen Piraten Urlaub verbieten wollen wegen Wahlkampf . Niederbayern ist immer wieder für einen Lacher gut %PosSmiley	Pirat , die ehrenamtlich Pirat Urlaub verbieten wollen wegen Wahlkampf . Niederbayern sein immer wieder für eine Lacher gut %PosSmiley	NN $, ART ADJA NN NE VVINF VMFIN APPR NN $. NE VAFIN ADV ADV APPR ART NN ADJD ITJ	8/SB 1/-- 5/NK 5/NK 7/OA 5/NK 1/OC 0/-- 8/MO 9/NK 10/-- 13/SB 0/-- 15/MO 13/MO 19/MO 18/NK 16/NK 13/PD 19/DM	case=nom|num=pl|Sentiment::markable_133::Sarcasm=false|Sentiment::markable_133::Polarity=negative|gender=masc|Sentiment::markable_133::Sentiment=True|Sentiment::markable_133::Intensity=medium Sentiment::markable_133::Sentiment=True case=nom|num=pl|Sentiment::markable_133::Sentiment=True|Source::markable_134::Source=True|gender=masc|Source::markable_134::Anaphref=empty case=nom|num=pl|Source::markable_134::Source=True|gender=masc|Sentiment::markable_133::Sentiment=True|pos=True case=nom|gender=masc|Sentiment::markable_133::Sentiment=True|num=pl|Source::markable_134::Source=True case=nom|num=sg|Target::markable_135::Preferred=true|gender=masc|Sentiment::markable_133::Sentiment=True|Target::markable_135::Target=True|Target::markable_135::Anaphref=empty EmoExpression::markable_136::SubjectiveFact=false|EmoExpression::markable_136::EmoExpression=True|EmoExpression::markable_136::Polarity=negative|Sentiment::markable_133::Sentiment=True|EmoExpression::markable_136::Intensity=medium|EmoExpression::markable_136::Uncertain=false|EmoExpression::markable_136::Sarcasm=false pers=3|Sentiment::markable_133::Sentiment=True|num=pl|tense=pres|mood=ind Sentiment::markable_133::Sentiment=True case=acc|gender=masc|Sentiment::markable_133::Sentiment=True|num=sg Sentiment::markable_133::Sentiment=True case=nom|Target::markable_138::Preferred=true|gender=neut|Sentiment::markable_137::Intensity=medium|Sentiment::markable_137::Sentiment=True|Sentiment::markable_137::Sarcasm=false|Target::markable_138::Anaphref=empty|num=sg|Sentiment::markable_137::Polarity=negative|Target::markable_138::Target=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_137::Sentiment=True Sentiment::markable_137::Sentiment=True Sentiment::markable_137::Sentiment=True Sentiment::markable_137::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_137::Sentiment=True case=acc|EmoExpression::markable_141::Polarity=negative|EmoExpression::markable_141::SubjectiveFact=false|EmoExpression::markable_141::EmoExpression=True|gender=masc|Sentiment::markable_137::Sentiment=True|num=sg|EmoExpression::markable_141::Intensity=medium|EmoExpression::markable_141::Sarcasm=false|EmoExpression::markable_141::Uncertain=false Sentiment::markable_137::Sentiment=True|pos=True|EmoExpression::markable_139::Intensity=medium|EmoExpression::markable_139::EmoExpression=True|EmoExpression::markable_139::SubjectiveFact=false|EmoExpression::markable_139::Sarcasm=false|EmoExpression::markable_139::Uncertain=false|EmoExpression::markable_139::Polarity=positive EmoExpression::markable_140::Polarity=positive|EmoExpression::markable_140::SubjectiveFact=false|EmoExpression::markable_140::Sarcasm=false|EmoExpression::markable_140::Uncertain=false|EmoExpression::markable_140::Intensity=medium|EmoExpression::markable_140::EmoExpression=True|Sentiment::markable_137::Sentiment=True
381816299338207232	negative	Das Wahlergebnis zeigt jedenfalls eins : Überwachung und NSA interessieren die Leute nicht wirklich ; sonst würden sie nicht ...	die Wahlergebnis zeigen jedenfalls eins : Überwachung und Nsa interessieren die Leute nicht wirklich ; sonst werden sie nicht ...	ART NN VVFIN ADV CARD $. NN KON NE VVFIN ART NN PTKNEG ADJD $. ADV VAFIN PPER PTKNEG $.	2/NK 3/SB 0/-- 3/MO 7/NMC 5/-- 10/SB 7/CD 8/CJ 3/OC 12/NK 10/SB 10/NG 10/MO 14/-- 17/MO 10/MO 17/SB 17/NG 19/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=acc|Sentiment::markable_142::Sarcasm=false|Sentiment::markable_142::Polarity=negative|gender=fem|Target::markable_143::Target=True|Target::markable_143::Anaphref=empty|num=sg|Sentiment::markable_142::Intensity=medium|Target::markable_143::Preferred=true|Sentiment::markable_142::Sentiment=True Sentiment::markable_142::Sentiment=True case=acc|num=sg|Target::markable_144::Target=True|gender=fem|Target::markable_144::Anaphref=empty|Target::markable_144::Preferred=true|Sentiment::markable_142::Sentiment=True EmoExpression::markable_146::Sarcasm=false|mood=ind|EmoExpression::markable_146::Polarity=positive|EmoExpression::markable_146::Intensity=medium|pers=3|num=pl|tense=pres|EmoExpression::markable_146::Uncertain=false|EmoExpression::markable_146::SubjectiveFact=false|Sentiment::markable_142::Sentiment=True|EmoExpression::markable_146::EmoExpression=True case=nom|num=pl|Source::markable_145::Source=True|*=True|Source::markable_145::Anaphref=empty|Sentiment::markable_142::Sentiment=True case=nom|*=True|Source::markable_145::Source=True|num=pl|Sentiment::markable_142::Sentiment=True Negation::markable_147::Negation=True|Negation::markable_147::EmoExpressionRef=emo-expression:markable_146|Sentiment::markable_142::Sentiment=True pos=True|Sentiment::markable_142::Sentiment=True _ _ pers=3|num=pl|tense=past|mood=subj case=nom|*=True|num=pl|pers=3 _ _
