375349415168724992	positive	Die beiden sehen sich ja auch so ähnlich %PosSmiley	die beide sehen sich ja auch so ähnlich %PosSmiley	ART PIS VVFIN PRF ADV ADV ADV ADJD ITJ	2/NK 3/SB 0/-- 3/OA 3/MO 8/MO 8/MO 3/MO 8/DM	case=nom|*=True|num=pl case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|pers=3|num=pl _ _ _ pos=True EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
378966376666238976	positive	Sonst findest du auch immer alles auf %Link %PosSmiley	sonst finden du auch immer alle auf %Link %PosSmiley	ADV VVFIN PPER ADV ADV PIS PTKVZ XY ITJ	2/MO 0/-- 2/SB 5/MO 2/MO 2/SB 2/SVP 7/NK 7/NK	_ pers=2|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=2 _ _ case=nom|gender=neut|num=sg _ _ EmoExpression::markable_32::Intensity=medium|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false|EmoExpression::markable_32::EmoExpression=True
366835881312649216	positive	Auf jeden Fall genug Platz für die Piratenbus - Kundgebung %PosSmiley	auf jede Fall genug Platz für die Piratenbus - Kundgebung %PosSmiley	APPR PIAT NN ADV NN APPR ART NN $( NN ITJ	5/MO 3/NK 1/NK 5/MO 0/-- 5/MNR 8/NK 6/NK 8/-- 8/PAR 10/NK	_ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=acc|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_33::Sarcasm=false|gender=fem|EmoExpression::markable_33::Intensity=medium|num=sg|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::SubjectiveFact=false
374089513913815040	negative	Da siehst Du , was mein Ex - Genosse bei der SPD für ' ' n Schiss hat %PosSmiley	da sehen du , was mein Ex - Genosse bei die SPD für ' ' n Schiss haben %PosSmiley	ADV VVFIN PPER $, PRELS PPOSAT NN $( NN APPR ART NE APPR $( $( ADJA NN VAFIN ITJ	2/MO 0/-- 2/SB 3/-- 18/OA 7/NK 18/OA 7/-- 7/APP 9/MNR 12/NK 10/NK 9/MNR 16/-- 14/-- 17/NK 13/NK 3/RC 3/NK	_ pers=2|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 _ case=acc|gender=neut|num=sg case=acc|Sentiment::markable_35::Intensity=medium|gender=neut|Target::markable_36::Target=True|Sentiment::markable_35::Sentiment=True|Target::markable_36::Anaphref=empty|num=sg|Target::markable_36::Preferred=true|Sentiment::markable_35::Sarcasm=false|Sentiment::markable_35::Polarity=negative case=acc|gender=neut|num=sg|Target::markable_36::Target=True|Sentiment::markable_35::Sentiment=True Target::markable_36::Target=True|Sentiment::markable_35::Sentiment=True case=acc|*=True|num=sg|Target::markable_36::Target=True|Sentiment::markable_35::Sentiment=True Target::markable_36::Target=True|Sentiment::markable_35::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_36::Target=True|Sentiment::markable_35::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_36::Target=True|Sentiment::markable_35::Sentiment=True Sentiment::markable_35::Sentiment=True Sentiment::markable_35::Sentiment=True Sentiment::markable_35::Sentiment=True Sentiment::markable_35::Sentiment=True EmoExpression::markable_37::EmoExpression=True|EmoExpression::markable_37::Uncertain=false|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=negative|Sentiment::markable_35::Sentiment=True pers=3|EmoExpression::markable_37::EmoExpression=True|num=sg|tense=pres|mood=ind|Sentiment::markable_35::Sentiment=True EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|Sentiment::markable_35::Sentiment=True|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false
379728459146084352	positive	Der %User Piraten hat in Warngau 17% der Erststimmen bekommen . Und das im CSU Aigner - Stimmkreis %PosSmiley ltwby13	die %User Pirat haben in Warngau @card@ die Erststimme bekommen . und die in CSU Aigner - Stimmkreis %PosSmiley ltwby13	ART NE NN VAFIN APPR NN CARD ART NN VVINF $. KON ART APPRART NE NE $( NN ITJ CARD	2/NK 4/SB 10/OA 0/-- 10/MO 5/NK 6/NK 9/NK 6/AG 4/OC 10/-- 14/JU 14/SB 11/-- 16/PNC 14/NK 16/-- 0/PAR 20/NK 18/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=fem|num=pl pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=neut|num=sg _ case=gen|gender=fem|num=pl case=gen|gender=fem|num=pl _ _ _ case=nom|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|gender=masc|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium|EmoExpression::markable_38::Polarity=positive|num=sg|EmoExpression::markable_38::SubjectiveFact=false _
380649743741091840	positive	Nein , aber ich kaufe dir gerne eine Burka ! Sogar in Piraten orange . %PosSmiley %Link	Nein , aber ich kaufen du gerne eine Burka ! sogar in Pirat orange . %PosSmiley %Link	NN $, KON PPER VVFIN PRF ADV ART NE $. ADV APPR NN ADJA $. ITJ XY	0/-- 1/-- 1/CD 5/SB 3/CJ 5/OA 5/MO 9/NK 5/SB 9/-- 12/MO 14/MO 12/NK 0/-- 14/-- 17/NK 0/--	_ _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=dat|*=True|num=sg|pers=2 EmoExpression::markable_104010172::Uncertain=false|EmoExpression::markable_104010172::Intensity=medium|EmoExpression::markable_104010172::Sarcasm=false|EmoExpression::markable_104010172::SubjectiveFact=false|EmoExpression::markable_104010172::Polarity=positive|EmoExpression::markable_104010172::EmoExpression=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ _ case=dat|gender=masc|num=pl _ _ EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium _
364774732962332672	positive	Lass mich mal raten : vornehmlich wenn es gegen die Grünen geht ? %PosSmiley	laß ich mal raten : vornehmlich wenn es gegen die Grüne gehen ? %PosSmiley	ADJD PRF ADV VVINF $. ADJD KOUS PPER APPR ART NN VVFIN $. ITJ	4/MO 4/OA 4/MO 0/-- 4/-- 12/MO 12/CP 12/EP 12/MO 11/NK 9/NK 4/OC 12/-- 12/DM	pos=True case=acc|*=True|num=sg|pers=1 _ _ _ pos=True _ case=nom|gender=neut|num=sg|pers=3 _ case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive
383685599963541505	positive	Das Video wurde lange vor den Wahlen gemacht , passt aber irgendwie immer noch . %PosSmiley SPD	die Video werden lange vor die Wahl machen , passen aber irgendwie immer noch . %PosSmiley SPD	ART NN VAFIN ADV APPR ART NN VVPP $, VVFIN ADV ADV ADV ADV $. ITJ NE	2/NK 3/SB 0/-- 5/MO 8/MO 7/NK 5/NK 3/OC 8/-- 3/CJ 10/MO 10/MO 14/MO 10/MO 14/-- 17/NK 0/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl _ _ pers=3|num=sg|tense=pres|mood=ind _ _ _ _ _ case=nom|EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|gender=fem|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false|num=sg|EmoExpression::markable_41::SubjectiveFact=false case=nom|gender=fem|num=sg
381728918815776768	positive	Und hier das amtliche Endergebis : CDU / CSU 4,8 Promille , SPD 5,0 Promille , FDP -0,9 Promille , Grüne 6,1 Promille , Linke 11 Prozent %PosSmiley	und hier die amtlich Endergebis : CDU / CSU @card@ Promille , SPD @card@ Promille , FDP @card@ Promille , Grüne @card@ Promille , link 11 Prozent %PosSmiley	KON ADV ART ADJA NN $. NE $( NE CARD NN $, NE CARD NN $, NE CARD NN $, NN CARD NN $, ADJA CARD NN ITJ	5/JU 5/MO 5/NK 5/NK 0/-- 5/-- 5/SB 7/-- 7/CJ 11/NK 7/CJ 11/-- 15/SB 15/NK 11/CJ 15/-- 19/NK 19/NK 15/CJ 19/-- 23/NK 23/NK 19/CJ 23/-- 27/NK 27/NK 23/CJ 27/NK	_ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ case=nom|gender=neut|num=pl _ case=nom|gender=fem|num=sg _ case=nom|gender=neut|num=pl _ case=nom|*=True|num=pl _ case=nom|*=True|num=pl _ case=nom|*=True|num=pl _ gender=neut|*=True mood=ind|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false|pers=3|num=sg|tense=past|EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Intensity=strong
383167906374500352	mixed	Das werde ich mir nicht entgehen lassen . %PosSmiley %User	die werden ich ich nicht entgehen lassen . %PosSmiley %User	PDS VAFIN PPER PRF PTKNEG VVINF VVINF $. ITJ NE	7/OA 0/-- 2/SB 6/DA 7/NG 7/OC 2/OC 7/-- 10/NK 0/--	case=acc|gender=neut|num=sg pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=dat|*=True|num=sg|pers=1 _ EmoExpression::markable_104010173::Intensity=medium|EmoExpression::markable_104010173::SubjectiveFact=false|EmoExpression::markable_104010173::EmoExpression=True|EmoExpression::markable_104010173::Polarity=negative|EmoExpression::markable_104010173::Sarcasm=false|EmoExpression::markable_104010173::Uncertain=false EmoExpression::markable_104010173::EmoExpression=True _ EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True case=nom|gender=masc|num=sg
382762112356855808	positive	also ich bin kein FDP - Wähler ? %PosSmiley %User	also ich sein keine FDP - Wähler ? %PosSmiley %User	ADV PPER VAFIN PIAT NE $( NN $. ITJ NE	2/MO 3/SB 0/-- 7/NK 7/NK 5/-- 3/PD 7/-- 1/DM 0/--	_ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg _ EmoExpression::markable_44::Uncertain=false|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::SubjectiveFact=false|EmoExpression::markable_44::EmoExpression=True|EmoExpression::markable_44::Polarity=positive case=nom|gender=masc|num=sg
380601717857222657	positive	das ist noch aus Glücksrad - Zeiten ( da war ich zehn Jahre ) da gespeichert %PosSmiley	die sein noch aus Glücksrad - Zeit ( da sein ich zehn Jahr ) da speichern %PosSmiley	PDS VAFIN ADV APPR NN $( NN $( ADV VAFIN PPER CARD NN $( ADV VVPP ITJ	2/SB 0/-- 16/MO 16/MO 4/NK 5/-- 5/CJ 7/-- 10/MO 7/PAR 10/SB 13/NK 10/PAR 13/-- 16/MO 2/PD 16/NK	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=neut|num=sg _ case=nom|gender=fem|num=pl _ _ pers=1|num=sg|tense=past|mood=ind case=nom|*=True|num=sg|pers=1 _ case=acc|gender=neut|num=pl _ _ _ EmoExpression::markable_45::SubjectiveFact=false|EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|EmoExpression::markable_45::Polarity=positive|EmoExpression::markable_45::Uncertain=false|EmoExpression::markable_45::Sarcasm=false
382848171627384832	positive	Sollte eigtl. eine Selbstverständlichkeit und keine Satire sein %NegSmiley SPD	sollen eigtl. eine Selbstverständlichkeit und keine Satire sein %NegSmiley SPD	VMFIN NE ART NN KON PIAT NN VAINF ITJ NE	0/-- 1/SB 4/NK 8/PD 4/CD 7/NK 5/CJ 1/OC 10/NK 8/DA	pers=3|num=sg|tense=past|mood=subj case=nom|*=True|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=nom|EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|gender=fem|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=positive|num=sg|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false case=nom|gender=fem|num=sg
358295179435839488	positive	Hm ... kommt noch jemand aus Köln , der mich evtl. mitnehmen könnte ? %PosSmiley Wuppertal Piraten Grillen	hm ... kommen noch jemand aus Köln , die ich evtl. mitnehmen können ? %PosSmiley Wuppertal Pirat Grille|Grillen	NE $. VVFIN ADV PIS APPR NE $, PRELS PRF NE VVINF VMFIN $. ITJ NE NN NN	3/SB 1/-- 0/-- 3/MO 3/SB 3/MO 6/NK 7/-- 13/SB 12/DA 13/SB 13/OC 7/RC 13/-- 13/DM 17/NK 0/-- 17/NK	case=nom|*=True|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=acc|*=True|num=sg|pers=1 case=nom|*=True|num=sg _ pers=3|num=sg|tense=past|mood=subj _ EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Intensity=medium case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=acc|gender=fem|num=pl
363624249765793794	positive	Piratenpartei Fwd : Bundesaktion / Beipackzettel %PosSmiley : Beitrag kann nach Anmeldung gelesen werden. %Link Piraten Forum	Piratenpartei Fwd : Bundesaktion / Beipackzettel %PosSmiley : Beitrag können nach Anmeldung lesen werden. %Link Pirat Forum	NN NE $. NN $( NN ITJ $. NN VMFIN APPR NN VVPP NE XY NN NN	10/SB 1/NK 2/-- 1/PAR 4/-- 4/CJ 6/NK 6/-- 13/OA 0/-- 10/MO 11/NK 10/OC 13/OA 13/OA 0/-- 16/NK	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg _ EmoExpression::markable_48::SubjectiveFact=false|EmoExpression::markable_48::Polarity=positive|EmoExpression::markable_48::Sarcasm=false|EmoExpression::markable_48::Uncertain=false|EmoExpression::markable_48::EmoExpression=True|EmoExpression::markable_48::Intensity=medium case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg _ _ _ case=nom|gender=masc|num=pl case=nom|gender=neut|num=sg
380063256247025664	positive	ach nee den Pelzig lass ich mir nicht entgehen %PosSmiley	ach nee die Pelzig laß ich ich nicht entgehen %PosSmiley	ITJ VVFIN ART NN ADJD PPER PRF PTKNEG VVINF ITJ	2/DM 0/-- 4/NK 2/OA 2/MO 9/SB 9/DA 2/NG 2/OC 9/NK	Sentiment::markable_100500113::Sentiment=True|Sentiment::markable_100500113::Sarcasm=false|Sentiment::markable_100500113::Polarity=positive|Sentiment::markable_100500113::Intensity=medium pers=3|Sentiment::markable_100500113::Sentiment=True|num=sg|tense=pres|mood=subj case=acc|Sentiment::markable_100500113::Sentiment=True|num=sg|Target::markable_100500114::Anaphref=empty|Target::markable_100500114::Preferred=true|gender=masc|Target::markable_100500114::Target=True case=acc|gender=masc|num=sg|Target::markable_100500114::Target=True|Sentiment::markable_100500113::Sentiment=True Sentiment::markable_100500113::Sentiment=True case=nom|pers=1|num=sg|Sentiment::markable_100500113::Sentiment=True|Source::markable_100500115::Anaphref=empty|*=True|Source::markable_100500115::Source=True case=dat|*=True|num=sg|Sentiment::markable_100500113::Sentiment=True|pers=1 Sentiment::markable_100500113::Sentiment=True|Negation::markable_100500118::EmoExpressionRef=emo-expression:markable_100500116|Negation::markable_100500118::Negation=True Sentiment::markable_100500113::Sentiment=True|EmoExpression::markable_100500116::SubjectiveFact=false|EmoExpression::markable_100500116::Polarity=negative|EmoExpression::markable_100500116::Sarcasm=false|EmoExpression::markable_100500116::Uncertain=false|EmoExpression::markable_100500116::EmoExpression=True|EmoExpression::markable_100500116::Intensity=medium Sentiment::markable_100500113::Sentiment=True|EmoExpression::markable_49::Polarity=positive|EmoExpression::markable_49::Sarcasm=false|EmoExpression::markable_49::EmoExpression=True|EmoExpression::markable_49::SubjectiveFact=false|EmoExpression::markable_49::Uncertain=false|EmoExpression::markable_49::Intensity=medium
379163631268954112	positive	Ich wünsche den Piraten in Bayern alles Gute heute !	ich wünschen die Pirat in Bayern alle Gute heute !	PPER VVFIN ART NN APPR NE PIAT NN ADV $.	2/SB 0/-- 4/NK 2/OA 4/MNR 5/NK 8/NK 2/MO 8/MNR 9/--	case=nom|pers=1|Source::markable_100500123::Source=True|num=sg|Sentiment::markable_100500121::Sentiment=True|Source::markable_100500123::Anaphref=markable_100500122|*=True Sentiment::markable_100500121::Sentiment=True|mood=ind|EmoExpression::markable_104010174::Sarcasm=false|EmoExpression::markable_104010174::EmoExpression=True|EmoExpression::markable_104010174::SubjectiveFact=false|EmoExpression::markable_104010174::Polarity=positive|pers=1|num=sg|tense=pres|EmoExpression::markable_104010174::Uncertain=false|EmoExpression::markable_104010174::Intensity=medium case=acc|gender=masc|num=sg|Sentiment::markable_100500121::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500121::Sentiment=True Sentiment::markable_100500121::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_100500121::Sentiment=True case=acc|EmoExpression::markable_104010175::EmoExpression=True|Sentiment::markable_100500121::Sentiment=True|EmoExpression::markable_104010175::Intensity=medium|gender=neut|EmoExpression::markable_104010175::Uncertain=false|num=sg|EmoExpression::markable_104010175::SubjectiveFact=false|EmoExpression::markable_104010175::Sarcasm=false|EmoExpression::markable_104010175::Polarity=positive case=acc|gender=neut|num=sg|EmoExpression::markable_104010175::EmoExpression=True|Sentiment::markable_100500121::Sentiment=True Sentiment::markable_100500121::Sentiment=True Sentiment::markable_100500121::Sentiment=True
370549161201913856	neutral	Grüne Minister fordern stärkeres Umsteuern bei Agrarfinanzierung : Berlin / Stuttgart ( dpa / lsw ) - Baden ... %Link pforzheim	Grüne Minister fordern stark Umsteuern bei Agrarfinanzierung : Berlin / Stuttgart ( dpa / lsw ) - Baden ... %Link Pforzheim	NN NN VVFIN ADJA NN APPR NN $. NE $( NE $( NE $( NE $( $( NE $. XY NE	3/SB 1/NK 0/-- 5/NK 3/OA 3/MO 6/NK 7/-- 3/OA 9/-- 9/CJ 11/-- 3/-- 13/-- 13/CJ 15/-- 16/-- 15/CJ 18/-- 18/PNC 0/--	case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|gender=neut|num=sg|comp=True case=gen|gender=masc|num=pl _ case=dat|gender=fem|num=sg _ case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg _ case=nom|gender=fem|num=sg _ case=nom|*=True|num=sg _ _ case=nom|gender=masc|num=sg _ _ case=nom|gender=neut|num=sg
345975507189366785	neutral	ähem , was haben die Grünen bitte jemals gegen s21 ernsthaft unternommen ? Und bitte konkrete Beispiele ! ...	ähem , was haben die Grüne bitten jemals gegen s21 ernsthaft unternehmen ? und bitte konkret Beispiel ! ...	NN $, PWS VAFIN ART NN VVFIN ADV APPR CARD ADJD VVPP $. KON ADV ADJA NN $. $.	7/SB 1/-- 12/OA 0/-- 6/NK 4/SB 12/MO 7/MO 7/MO 9/NK 12/MO 4/OC 12/-- 17/JU 17/NK 17/NK 0/-- 17/-- 0/--	_ _ case=acc|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl case=nom|*=True|num=pl _ _ _ _ pos=True _ _ _ _ case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ _
364307710214279169	negative	Grüne wollen fleischessen an bestimmten tagen verbieten , konservative ( leider auch einige sozis ) das tanzen . Völlig albern	Grüne wollen fleischessen an bestimmt tagen verbieten , konservativ ( leider auch einige Sozi ) die tanzen . völlig albern	NN VMFIN ADJD APPR ADJA VVINF VVINF $, ADJA $( ADV ADV PIAT NN $( PDS VVFIN $. ADJD ADJD	2/SB 0/-- 6/MO 6/MO 4/NK 7/OC 2/OC 7/-- 14/NK 9/-- 14/MO 14/MO 14/NK 17/SB 14/-- 17/OA 7/OC 17/-- 20/MO 0/--	Target::markable_100500125::Target=True|Source::markable_100500127::Anaphref=empty|Target::markable_100500125::Preferred=true|Sentiment::markable_100500127::Polarity=negative|num=pl|Sentiment::markable_100500124::Intensity=medium|Sentiment::markable_100500124::Sentiment=True|case=nom|Sentiment::markable_100500127::Intensity=medium|*=True|Target::markable_100500125::Anaphref=empty|Sentiment::markable_100500127::Sarcasm=false|Sentiment::markable_100500124::Polarity=negative|Sentiment::markable_100500124::Sarcasm=false|Source::markable_100500127::Source=True|Sentiment::markable_100500127::Sentiment=True pers=3|num=pl|tense=pres|mood=ind|Target::markable_100500125::Target=True|Sentiment::markable_100500127::Sentiment=True|Sentiment::markable_100500124::Sentiment=True Target::markable_100500127::Anaphref=empty|Target::markable_100500125::Target=True|Target::markable_100500127::Target=True|Sentiment::markable_100500127::Sentiment=True|Sentiment::markable_100500124::Sentiment=True|pos=True|Target::markable_100500127::Preferred=true Sentiment::markable_100500127::Sentiment=True|Sentiment::markable_100500124::Sentiment=True|Target::markable_100500125::Target=True case=dat|num=pl|Target::markable_100500125::Target=True|gender=fem|Sentiment::markable_100500127::Sentiment=True|Sentiment::markable_100500124::Sentiment=True|pos=True Sentiment::markable_100500127::Sentiment=True|Sentiment::markable_100500124::Sentiment=True|Target::markable_100500125::Target=True Target::markable_100500125::Target=True|EmoExpression::markable_100500131::EmoExpression=True|EmoExpression::markable_100500127::Sarcasm=false|EmoExpression::markable_100500127::SubjectiveFact=false|num=pl|tense=pres|EmoExpression::markable_100500127::Uncertain=false|Sentiment::markable_100500124::Sentiment=True|EmoExpression::markable_100500127::Polarity=negative|EmoExpression::markable_100500131::Uncertain=false|EmoExpression::markable_100500131::Intensity=medium|EmoExpression::markable_100500131::SubjectiveFact=false|mood=ind|EmoExpression::markable_100500127::Intensity=medium|EmoExpression::markable_100500131::Polarity=negative|EmoExpression::markable_100500127::EmoExpression=True|EmoExpression::markable_100500131::Sarcasm=false|pers=3|Sentiment::markable_100500127::Sentiment=True Sentiment::markable_100500124::Sentiment=True case=nom|Target::markable_100500126::Preferred=true|Sentiment::markable_100500131::Sarcasm=false|Source::markable_100500131::Anaphref=empty|Sentiment::markable_100500131::Polarity=negative|Source::markable_100500131::Source=True|gender=fem|Sentiment::markable_100500131::Intensity=medium|pos=True|num=pl|Sentiment::markable_100500131::Sentiment=True|Sentiment::markable_100500124::Sentiment=True|Target::markable_100500126::Anaphref=empty|Target::markable_100500126::Target=True Sentiment::markable_100500131::Sentiment=True|Sentiment::markable_100500124::Sentiment=True|Target::markable_100500126::Target=True EmoExpression::markable_104010176::Sarcasm=false|EmoExpression::markable_104010176::Uncertain=false|EmoExpression::markable_104010176::Intensity=medium|EmoExpression::markable_104010176::SubjectiveFact=false|Sentiment::markable_100500131::Sentiment=True|Sentiment::markable_100500124::Sentiment=True|EmoExpression::markable_104010176::Polarity=negative|EmoExpression::markable_104010176::EmoExpression=True|Target::markable_100500126::Target=True Sentiment::markable_100500131::Sentiment=True|Sentiment::markable_100500124::Sentiment=True|Target::markable_100500126::Target=True case=acc|Sentiment::markable_100500124::Sentiment=True|Source::markable_100500131::Source=True|gender=fem|num=pl|Sentiment::markable_100500131::Sentiment=True|Source::markable_100500131::Anaphref=empty|Target::markable_100500126::Target=True case=acc|num=pl|Source::markable_100500131::Source=True|Sentiment::markable_100500131::Sentiment=True|gender=fem|Sentiment::markable_100500124::Sentiment=True|Target::markable_100500126::Target=True Sentiment::markable_100500131::Sentiment=True|Sentiment::markable_100500124::Sentiment=True|Target::markable_100500126::Target=True case=acc|Sentiment::markable_100500124::Sentiment=True|Target::markable_100500131::Preferred=true|gender=neut|Target::markable_100500131::Anaphref=empty|num=sg|Sentiment::markable_100500131::Sentiment=True|Target::markable_100500131::Target=True|Target::markable_100500126::Target=True Sentiment::markable_100500131::Sentiment=True|Sentiment::markable_100500124::Sentiment=True|Target::markable_100500131::Target=True|Target::markable_100500126::Target=True Sentiment::markable_100500124::Sentiment=True Intensifier::markable_52::EmoExpressionRef=emo-expression:markable_51|Intensifier::markable_52::Degree=strong|Intensifier::markable_52::Intensifier=True|pos=True|Sentiment::markable_100500124::Sentiment=True EmoExpression::markable_51::Uncertain=false|EmoExpression::markable_51::Polarity=negative|pos=True|EmoExpression::markable_51::SubjectiveFact=false|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::Sarcasm=false|Sentiment::markable_100500124::Sentiment=True|EmoExpression::markable_51::Intensity=medium
